FRST_LETTER	WORD-FSE
a	AM radio -- TsN sauribayek
a	AM/FM radio -- TsN-VN sauribayek
a	a la (prep.) -- spo'
a	Abacus -- tum-nentu
a	Abaft -- za'le
a	"Abandon (v.) -- rinshahtau (not complete); ek'trasha (leave behind/untended)"
a	Abandon ship -- ek'trasha MH
a	"Abandonment -- rinshahtaya (leaving incomplete); ek'trashan (leaving behind/untended)"
a	Abashed -- tafus-, tafusik
a	Abaxial (bot., zool.) -- irak-da-sfekik
a	Abbess -- ko-abbesu
a	Abbey -- abbe (VTW)
a	Abbot -- sa-abbesu
a	Abbreviate -- zhipenau
a	Abbreviation -- zhipenaya
a	Abcission -- ha-snem
a	Abdicate (give up a throne) -- ska-fulagtau
a	Abdomen -- feshek
a	Abduct -- susanem-tor
a	Abductee -- susanemalsu
a	Abduction -- susanem
a	"Abductor -- sa'le-dvunek (muscle); susanemsu (person)"
a	Aberrant -- rivesik
a	Abhor -- sufnuvau
a	Ability -- kup'es
a	Abiotic -- riha-, rihayik
a	Abiotic factor -- riha-klai
a	Ablactation -- pehk-thasaya
a	Ablation -- falkrashaya
a	Ablative (adj.) -- falkrash-, falkrashauk
a	Ablative coating -- falkrash-fi-wein
a	Ablative hull armor -- falkrashauk khut-fo-wein
a	Ablative material -- falkrash-tukh
a	Ablative nose cone -- falkrash-um-ikun
a	Able -- kup|-|
a	Ablepharia -- fam-bezhun-wein
a	Ablogenesis -- ha-nen-tveshu
a	Ablotic -- rihatik
a	Ablutophobia -- wu'sibau-pthak
a	Aboard (adj.) -- fihaliyan-, fihaliyanik
a	Abominable -- ksevat-, ksevatik
a	Abomination -- ksevatilaya
a	Abnormal -- ritsuri|-|
a	Abolish -- ek'skatuhlau
a	"Abort -- kraffaya (n., rocketry); busnem-tor (v., med.)"
a	Abortion (med.) -- busnem
a	About (prep.) -- pa'
a	Above (prep.) -- abru'
a	Abrachia -- fam-karlar
a	Abrade -- grashau
a	Abranchiate -- masu-eshanek-famik
a	Abrasion -- grashaya
a	"Abrasive -- grashau-, grashauk (adj.); grashayek (n.)"
a	Abroad (adj., adv.) -- mesmasutraik
a	Abscess -- pi'tak
a	Abscissa -- pa'ash-sfek-pit
a	Abscission (bot.) -- kas-krus-fosha
