"FRST_LETTER"	"fse"	"vulcan"
"1"	"a"	"AM radio"	"TsN sauribayek"
"2"	"a"	"AM/FM radio"	"TsN-VN sauribayek"
"3"	"a"	"a la(prep.)"	"spo'"
"4"	"a"	"Abacus"	"tum-nentu"
"5"	"a"	"Abaft"	"za'le"
"6"	"a"	"Abandon(v.)"	"rinshahtau(not complete); ek'trasha(leave behind/untended)"
"7"	"a"	"Abandon ship"	"ek'trasha MH"
"8"	"a"	"Abandonment"	"rinshahtaya(leaving incomplete); ek'trashan(leaving behind/untended)"
"9"	"a"	"Abashed"	"tafus-, tafusik"
"10"	"a"	"Abaxial(bot., zool.)"	"irak-da-sfekik"
"11"	"a"	"Abbess"	"ko-abbesu"
"12"	"a"	"Abbey"	"abbe(VTW)"
"13"	"a"	"Abbot"	"sa-abbesu"
"14"	"a"	"Abbreviate"	"zhipenau"
"15"	"a"	"Abbreviation"	"zhipenaya"
"16"	"a"	"Abcission"	"ha-snem"
"17"	"a"	"Abdicate(give up a throne)"	"ska-fulagtau"
"18"	"a"	"Abdomen"	"feshek"
"19"	"a"	"Abduct"	"susanem-tor"
"20"	"a"	"Abductee"	"susanemalsu"
"21"	"a"	"Abduction"	"susanem"
"22"	"a"	"Abductor"	"sa'le-dvunek(muscle); susanemsu(person)"
"23"	"a"	"Aberrant"	"rivesik"
"24"	"a"	"Abhor"	"sufnuvau"
"25"	"a"	"Ability"	"kup'es"
"26"	"a"	"Abiotic"	"riha-, rihayik"
"27"	"a"	"Abiotic factor"	"riha-klai"
"28"	"a"	"Ablactation"	"pehk-thasaya"
"29"	"a"	"Ablation"	"falkrashaya"
"30"	"a"	"Ablative(adj.)"	"falkrash-, falkrashauk"
"31"	"a"	"Ablative coating"	"falkrash-fi-wein"
"32"	"a"	"Ablative hull armor"	"falkrashauk khut-fo-wein"
"33"	"a"	"Ablative material"	"falkrash-tukh"
"34"	"a"	"Ablative nose cone"	"falkrash-um-ikun"
"35"	"a"	"Able"	"kup|-|"
"36"	"a"	"Ablepharia"	"fam-bezhun-wein"
"37"	"a"	"Ablogenesis"	"ha-nen-tveshu"
"38"	"a"	"Ablotic"	"rihatik"
"39"	"a"	"Ablutophobia"	"wu'sibau-pthak"
"40"	"a"	"Aboard(adj.)"	"fihaliyan-, fihaliyanik"
"41"	"a"	"Abominable"	"ksevat-, ksevatik"
"42"	"a"	"Abomination"	"ksevatilaya"
"43"	"a"	"Abnormal"	"ritsuri|-|"
"44"	"a"	"Abolish"	"ek'skatuhlau"
"45"	"a"	"Abort"	"kraffaya(n., rocketry); busnem-tor(v., med.)"
"46"	"a"	"Abortion(med.)"	"busnem"
"47"	"a"	"About(prep.)"	"pa'"
"48"	"a"	"Above(prep.)"	"abru'"
"49"	"a"	"Abrachia"	"fam-karlar"
"50"	"a"	"Abrade"	"grashau"
"51"	"a"	"Abranchiate"	"masu-eshanek-famik"
"52"	"a"	"Abrasion"	"grashaya"
"53"	"a"	"Abrasive"	"grashau-, grashauk(adj.); grashayek(n.)"
"54"	"a"	"Abroad(adj., adv.)"	"mesmasutraik"
"55"	"a"	"Abscess"	"pi'tak"
"56"	"a"	"Abscissa"	"pa'ash-sfek-pit"
"57"	"a"	"Abscission(bot.)"	"kas-krus-fosha"
"58"	"a"	"Absence"	"tadek-adir'es"
"59"	"a"	"Absent"	"tadek-adir(anc.)"
"60"	"a"	"Absolute(adj.)"	"ek'es-, ek'esik"
"61"	"a"	"Absolute age"	"ek'es-ya'shakhuv"
"62"	"a"	"Absolute ceiling"	"ek'es-pid-tin"
"63"	"a"	"Absolute coefficient"	"ek'es-kakratulek"
"64"	"a"	"Absolute convergence"	"ek'es-teretaya"
"65"	"a"	"Absolute humidity"	"ek'esik masu'es"
"66"	"a"	"Absolute magnitude"	"ek'esik pul'es"
"67"	"a"	"Absolute majority"	"ek'es-danan"
"68"	"a"	"Absolute power"	"ek'es-tepul"
"69"	"a"	"Absolute pressure"	"ek'es-saris-vihish"
"70"	"a"	"Absolute temperature"	"ek'esik falek'es"
"71"	"a"	"Absolute value"	"ek'es-tala"
"72"	"a"	"Absolute weight"	"ek'es-rasath"
"73"	"a"	"Absolute zero"	"ek'es-ris"
"74"	"a"	"Absorb"	"viseshau"
"75"	"a"	"Absorbent"	"viseshau-, viseshauk(adj.); viseshayek(n.)"
"76"	"a"	"Absorption"	"viseshaya"
"77"	"a"	"Absorption band"	"viseshau-zhel"
"78"	"a"	"Absorption coefficient"	"viseshau-kakratulek"
"79"	"a"	"Absorption edge"	"viseshau-rihk"
"80"	"a"	"Absorption lines"	"viseshau-zehllar"
"81"	"a"	"Absorption spectrum"	"viseshau-kurtra"
"82"	"a"	"Absorption tube"	"viseshau-mev"
"83"	"a"	"Abundance"	"mau-yan'es"
"84"	"a"	"Abundant"	"mau-yan-, mau-yanik"
"85"	"a"	"Abuse"	"tamadaya(n.), tamadau(v.)"
"86"	"a"	"Abut"	"kwenitor"
"87"	"a"	"Abutment"	"kwenikek"
"88"	"a"	"Abyss"	"gosh"
"89"	"a"	"Abyssal"	"gosh-, goshik"
"90"	"a"	"Abyssal-benthic"	"glu-gosh-, glu-goshik"
"91"	"a"	"Abyssal-benthic zone"	"glu-gosh-shal"
"92"	"a"	"Abyssal deposits"	"gosh-titayalar"
"93"	"a"	"Abyssal hill"	"gosh-kunel"
"94"	"a"	"Abyssal plain"	"gosh-eiktra"
