"FRST_LETTER"	"fse"	"domain"	"vulcan"
"1"	"a"	"AM radio"	NA	"TsN sauribayek"
"2"	"a"	"AM/FM radio"	NA	"TsN-VN sauribayek"
"3"	"a"	"a la"	"prep."	"spo'"
"4"	"a"	"Abacus"	NA	"tum-nentu"
"5"	"a"	"Abaft"	NA	"za'le"
"6"	"a"	"Abandon"	"v."	"rinshahtau(not complete); ek'trasha(leave behind/untended)"
"7"	"a"	"Abandon ship"	NA	"ek'trasha MH"
"8"	"a"	"Abandonment"	NA	"rinshahtaya(leaving incomplete); ek'trashan(leaving behind/untended)"
"9"	"a"	"Abashed"	NA	"tafus-, tafusik"
"10"	"a"	"Abaxial"	"bot., zool."	"irak-da-sfekik"
"11"	"a"	"Abbess"	NA	"ko-abbesu"
"12"	"a"	"Abbey"	NA	"abbe(VTW)"
"13"	"a"	"Abbot"	NA	"sa-abbesu"
"14"	"a"	"Abbreviate"	NA	"zhipenau"
"15"	"a"	"Abbreviation"	NA	"zhipenaya"
"16"	"a"	"Abcission"	NA	"ha-snem"
"17"	"a"	"Abdicate"	"give up a throne"	"ska-fulagtau"
"18"	"a"	"Abdomen"	NA	"feshek"
"19"	"a"	"Abduct"	NA	"susanem-tor"
"20"	"a"	"Abductee"	NA	"susanemalsu"
"21"	"a"	"Abduction"	NA	"susanem"
"22"	"a"	"Abductor"	NA	"sa'le-dvunek(muscle); susanemsu(person)"
"23"	"a"	"Aberrant"	NA	"rivesik"
"24"	"a"	"Abhor"	NA	"sufnuvau"
"25"	"a"	"Ability"	NA	"kup'es"
"26"	"a"	"Abiotic"	NA	"riha-, rihayik"
"27"	"a"	"Abiotic factor"	NA	"riha-klai"
"28"	"a"	"Ablactation"	NA	"pehk-thasaya"
"29"	"a"	"Ablation"	NA	"falkrashaya"
"30"	"a"	"Ablative"	"adj."	"falkrash-, falkrashauk"
"31"	"a"	"Ablative coating"	NA	"falkrash-fi-wein"
"32"	"a"	"Ablative hull armor"	NA	"falkrashauk khut-fo-wein"
"33"	"a"	"Ablative material"	NA	"falkrash-tukh"
"34"	"a"	"Ablative nose cone"	NA	"falkrash-um-ikun"
"35"	"a"	"Able"	NA	"kup|-|"
"36"	"a"	"Ablepharia"	NA	"fam-bezhun-wein"
"37"	"a"	"Ablogenesis"	NA	"ha-nen-tveshu"
"38"	"a"	"Ablotic"	NA	"rihatik"
"39"	"a"	"Ablutophobia"	NA	"wu'sibau-pthak"
"40"	"a"	"Aboard"	"adj."	"fihaliyan-, fihaliyanik"
"41"	"a"	"Abominable"	NA	"ksevat-, ksevatik"
"42"	"a"	"Abomination"	NA	"ksevatilaya"
"43"	"a"	"Abnormal"	NA	"ritsuri|-|"
"44"	"a"	"Abolish"	NA	"ek'skatuhlau"
"45"	"a"	"Abort"	NA	"kraffaya(n., rocketry); busnem-tor(v., med.)"
"46"	"a"	"Abortion"	"med."	"busnem"
"47"	"a"	"About"	"prep."	"pa'"
