"FRST_LETTER"	"vulcan"	"variety"	"pos"	"croftian_crossling_concepts"	"fse"
"1"	"a"	"A'gal "	"MGV"	"n."	"OBJ.CONC"	"proton"
"2"	"a"	"A'gal-lushun "	"MGV"	"n."	"OBJ.CONC"	"proton torpedo"
"3"	"a"	"A'ho "	"MGV"	"interj."	"interjection"	"hello"
"4"	"a"	"A'rak-, A'rakik "	"MGV"	"n."	"OBJ.CONC"	"positive (polarity)"
"5"	"a"	"A'rak-falun "	"MGV"	"n."	"OBJ.CONC"	"positive charge"
"6"	"a"	"A'rak-falun-krus "	"MGV"	"n."	"OBJ.CONC"	"positive ion"
"7"	"a"	"A'rak-narak'es "	"MGV"	"n."	"OBJ.CONC"	"positive polarity"
"8"	"a"	"Aberala "	"MGV"	"n."	"OBJ.CONC"	"aerofoil, airfoil"
"9"	"a"	"Aberala-tchakat "	"MGV"	"n."	"OBJ.CONC"	"camber"
"10"	"a"	"Aberayek "	"MGV"	"n."	"OBJ.CONC"	"crane"
"11"	"a"	"Aberofek "	"MGV"	"n."	"OBJ.CONC"	"derrick"
"12"	"a"	"Abevipladau "	"MGV"	"v."	"ACT.CONC"	"dub"
"13"	"a"	"Abi' "	"MGV"	"prep."	"SITU.MOD"	"until"
"14"	"a"	"Abmarkan-, Abmarkanik "	"MGV"	"adj."	"PROP.CONC"	"buoyant"
"15"	"a"	"Abmarkan'es "	"MGV"	"n."	"OBJ.CONC"	"buoyancy"
"16"	"a"	"Abmarkan'es-svitan "	"MGV"	"n."	"OBJ.CONC"	"center of buoyancy"
"17"	"a"	"Abomesayik vath-sfek-aus "	"MGV"	"n."	"OBJ.CONC"	"arccosecant"
"18"	"a"	"Abomesayik vath-sfek-vel "	"MGV"	"n."	"OBJ.CONC"	"arccotangent"
"19"	"a"	"Abomesayik vath-tavat-zes "	"MGV"	"n."	"OBJ.CONC"	"arccosine"
"20"	"a"	"Abomesayik vul-tavat-zes "	"MGV"	"n."	"OBJ.CONC"	"arcsine"
"21"	"a"	"Abomesayik weht-sfek-aus "	"MGV"	"n."	"OBJ.CONC"	"arcsecant"
"22"	"a"	"Abomesayik wuh-sfek-vel "	"MGV"	"n."	"OBJ.CONC"	"arctangent"
"23"	"a"	"Aborau "	"MGV"	"v."	"ACT.CONC"	"boost"
"24"	"a"	"Aborau-yon-hashek "	"MGV"	"n."	"OBJ.CONC"	"booster rocket"
"25"	"a"	"Aboraya "	"MGV"	"n."	"OBJ.CONC"	"boost"
"26"	"a"	"Aborayek "	"MGV"	"n."	"OBJ.CONC"	"booster"
"27"	"a"	"Aborayek-dahshaya "	"MGV"	"n."	"OBJ.CONC"	"booster separation"
"28"	"a"	"Abrash "	"MGV"	"n."	"OBJ.CONC"	"flood"
"29"	"a"	"Abrash-eiktra "	"MGV"	"n."	"OBJ.CONC"	"flood plain"
"30"	"a"	"Abrash-masu "	"MGV"	"n."	"OBJ.CONC"	"floodwater(s)"
"31"	"a"	"Abrash-pthak "	"MGV"	"n."	"OBJ.CONC"	"antlophobia"
"32"	"a"	"Abrash-temep "	"MGV"	"n."	"OBJ.CONC"	"floodgate"
"33"	"a"	"Abrash-temok "	"MGV"	"n."	"OBJ.CONC"	"floodwall"
"34"	"a"	"Abrash-tor "	"MGV"	"v."	"ACT.CONC"	"flood"
"35"	"a"	"Abru' "	"MGV"	"prep."	"SITU.MOD"	"above, over"
"36"	"a"	"Abru'es "	"MGV"	"n."	"OBJ.CONC"	"dominance"
"37"	"a"	"Abru'mesukh"	"obs."	"prep."	"SITU.MOD"	"across"
