"FRST_LETTER"	"voicing"	"vulcan"	"variety"	"pos"	"croftian_crossling_concepts"	"fse"
"1"	"a"	"voiced"	"A'gal "	"MGV"	"n."	"OBJ.CONC"	"proton"
"2"	"a"	"voiced"	"A'gal-lushun "	"MGV"	"n."	"OBJ.CONC"	"proton torpedo"
"3"	"a"	"voiced"	"A'ho "	"MGV"	"interj."	"interjection"	"hello"
"4"	"a"	"voiced"	"A'rak-, A'rakik "	"MGV"	"n."	"OBJ.CONC"	"positive (polarity)"
"5"	"a"	"voiced"	"A'rak-falun "	"MGV"	"n."	"OBJ.CONC"	"positive charge"
"6"	"a"	"voiced"	"A'rak-falun-krus "	"MGV"	"n."	"OBJ.CONC"	"positive ion"
"7"	"a"	"voiced"	"A'rak-narak'es "	"MGV"	"n."	"OBJ.CONC"	"positive polarity"
"8"	"a"	"voiced"	"Aberala "	"MGV"	"n."	"OBJ.CONC"	"aerofoil, airfoil"
"9"	"a"	"voiced"	"Aberala-tchakat "	"MGV"	"n."	"OBJ.CONC"	"camber"
"10"	"a"	"voiced"	"Aberayek "	"MGV"	"n."	"OBJ.CONC"	"crane"
"11"	"a"	"voiced"	"Aberofek "	"MGV"	"n."	"OBJ.CONC"	"derrick"
"12"	"a"	"voiced"	"Abevipladau "	"MGV"	"v."	"ACT.CONC"	"dub"
"13"	"a"	"voiced"	"Abi' "	"MGV"	"prep."	"SITU.MOD"	"until"
"14"	"a"	"voiced"	"Abmarkan-, Abmarkanik "	"MGV"	"adj."	"PROP.CONC"	"buoyant"
"15"	"a"	"voiced"	"Abmarkan'es "	"MGV"	"n."	"OBJ.CONC"	"buoyancy"
"16"	"a"	"voiced"	"Abmarkan'es-svitan "	"MGV"	"n."	"OBJ.CONC"	"center of buoyancy"
"17"	"a"	"voiced"	"Abomesayik vath-sfek-aus "	"MGV"	"n."	"OBJ.CONC"	"arccosecant"
"18"	"a"	"voiced"	"Abomesayik vath-sfek-vel "	"MGV"	"n."	"OBJ.CONC"	"arccotangent"
"19"	"a"	"voiced"	"Abomesayik vath-tavat-zes "	"MGV"	"n."	"OBJ.CONC"	"arccosine"
"20"	"a"	"voiced"	"Abomesayik vul-tavat-zes "	"MGV"	"n."	"OBJ.CONC"	"arcsine"
"21"	"a"	"voiced"	"Abomesayik weht-sfek-aus "	"MGV"	"n."	"OBJ.CONC"	"arcsecant"
"22"	"a"	"voiced"	"Abomesayik wuh-sfek-vel "	"MGV"	"n."	"OBJ.CONC"	"arctangent"
"23"	"a"	"voiced"	"Aborau "	"MGV"	"v."	"ACT.CONC"	"boost"
"24"	"a"	"voiced"	"Aborau-yon-hashek "	"MGV"	"n."	"OBJ.CONC"	"booster rocket"
"25"	"a"	"voiced"	"Aboraya "	"MGV"	"n."	"OBJ.CONC"	"boost"
"26"	"a"	"voiced"	"Aborayek "	"MGV"	"n."	"OBJ.CONC"	"booster"
"27"	"a"	"voiced"	"Aborayek-dahshaya "	"MGV"	"n."	"OBJ.CONC"	"booster separation"
"28"	"a"	"voiced"	"Abrash "	"MGV"	"n."	"OBJ.CONC"	"flood"
"29"	"a"	"voiced"	"Abrash-eiktra "	"MGV"	"n."	"OBJ.CONC"	"flood plain"
"30"	"a"	"voiced"	"Abrash-masu "	"MGV"	"n."	"OBJ.CONC"	"floodwater(s)"
"31"	"a"	"voiced"	"Abrash-pthak "	"MGV"	"n."	"OBJ.CONC"	"antlophobia"
"32"	"a"	"voiced"	"Abrash-temep "	"MGV"	"n."	"OBJ.CONC"	"floodgate"
"33"	"a"	"voiced"	"Abrash-temok "	"MGV"	"n."	"OBJ.CONC"	"floodwall"
"34"	"a"	"voiced"	"Abrash-tor "	"MGV"	"v."	"ACT.CONC"	"flood"
"35"	"a"	"voiced"	"Abru' "	"MGV"	"prep."	"SITU.MOD"	"above, over"
"36"	"a"	"voiced"	"Abru'es "	"MGV"	"n."	"OBJ.CONC"	"dominance"
"37"	"a"	"voiced"	"Abru-ahs|-hinek| "	"MGV"	"n."	"OBJ.CONC"	"maxilla"
"38"	"a"	"voiced"	"Abru-kapol-nafek "	"MGV"	"n."	"OBJ.CONC"	"adrenal gland"
"39"	"a"	"voiced"	"Abru-kar-hinek "	"MGV"	"n."	"OBJ.CONC"	"humerus"
"40"	"a"	"voiced"	"Abru-mal "	"MGV"	"n."	"OBJ.CONC"	"thigh"
"41"	"a"	"voiced"	"Abru-mal-hinek "	"MGV"	"n."	"OBJ.CONC"	"femur, thighbone"
"42"	"a"	"voiced"	"Abru-mes "	"MGV"	"n."	"OBJ.CONC"	"crossover"
"43"	"a"	"voiced"	"Abru-ralashik "	"MGV"	"adj."	"PROP.CONC"	"supersonic"
"44"	"a"	"voiced"	"Abru-ralashik ifis-hali "	"MGV"	"n."	"OBJ.CONC"	"supersonic transport (SST)"
"45"	"a"	"voiced"	"Abru-spis "	"MGV"	"n."	"OBJ.CONC"	"anticline"
"46"	"a"	"voiced"	"Abru-su'us "	"MGV"	"n."	"OBJ.CONC"	"numerator"
"47"	"a"	"voiced"	"Abru-tchakat "	"MGV"	"n."	"OBJ.CONC"	"camber"
"48"	"a"	"voiced"	"Abru-tus "	"MGV"	"n."	"OBJ.CONC"	"overload"
"49"	"a"	"voiced"	"Abru-tus-nelayek "	"MGV"	"n."	"OBJ.CONC"	"overload suppressor"
"50"	"a"	"voiced"	"Abru-tus-tor "	"MGV"	"v."	"ACT.CONC"	"overload"
"51"	"a"	"voiced"	"Abru-tvi-kovtra "	"MGV"	"n."	"OBJ.CONC"	"asthenosphere"
"52"	"a"	"voiced"	"Abru-vulu "	"MGV"	"n."	"OBJ.CONC"	"obtuse angle"
"53"	"a"	"voiced"	"Abru-yetural-, Abru-yeturalik "	"MGV"	"adj."	"PROP.CONC"	"overdriven"
"54"	"a"	"voiced"	"Abru-zan-mev "	"MGV"	"n."	"OBJ.CONC"	"periscope"
"55"	"a"	"voiced"	"Abrukhau "	"MGV"	"v."	"ACT.CONC"	"dominate"
"56"	"a"	"voiced"	"Abrumashen-, abrumashenik "	"MGV"	"adj."	"PROP.CONC"	"awash"
"57"	"a"	"voiced"	"Abruneniwau "	"MGV"	"v."	"ACT.CONC"	"supervise"
"58"	"a"	"voiced"	"Abruneniwausu "	"MGV"	"n."	"OBJ.CONC"	"supervisor"
"59"	"a"	"voiced"	"Abrupik "	"MGV"	"adj."	"PROP.CONC"	"dominant"
"60"	"a"	"voiced"	"Abrupodon "	"MGV"	"n."	"OBJ.CONC"	"profit"
"61"	"a"	"voiced"	"Abruven-esh-nosh "	"MGV"	"n."	"OBJ.CONC"	"orthopnea"
"62"	"a"	"voiced"	"Absakau "	"MGV"	"v."	"ACT.CONC"	"raid"
"63"	"a"	"voiced"	"Absakausu "	"MGV"	"n."	"OBJ.CONC"	"raider, marauder"
"64"	"a"	"voiced"	"Abu, Abu' "	"MGV"	"prep."	"SITU.MOD"	"up"
"65"	"a"	"voiced"	"Abu'le "	"MGV"	"prep."	"SITU.MOD"	"upward(s)"
"66"	"a"	"voiced"	"Abu'shi "	"MGV"	"adv."	"SITU.MOD"	"aloft"
"67"	"a"	"voiced"	"Abu'tvau "	"MGV"	"v."	"ACT.CONC"	"swing up"
"68"	"a"	"voiced"	"Abu-dvun-, Abu-dvunik "	"MGV"	"adj."	"PROP.CONC"	"anabatic"
"69"	"a"	"voiced"	"Abu-pla'dor-hinek "	"MGV"	"n."	"OBJ.CONC"	"thoracic vertebra"
"70"	"a"	"voiced"	"Abu-to'ovayak "	"MGV"	"n."	"OBJ.CONC"	"stalagmite"
"71"	"a"	"voiced"	"Abu-tor "	"MGV"	"v."	"ACT.CONC"	"erect, put up"
"72"	"a"	"voiced"	"Abu-vla-nu'leyik "	"MGV"	"adj."	"PROP.CONC"	"upside-down"
"73"	"a"	"voiced"	"Abu-yumaya "	"MGV"	"n."	"OBJ.CONC"	"updraft"
"74"	"a"	"voiced"	"Abuhish "	"MGV"	"n."	"OBJ.CONC"	"upward pressure"
"75"	"a"	"voiced"	"Abukhau "	"MGV"	"v."	"ACT.CONC"	"rule over"
"76"	"a"	"voiced"	"Abulau "	"MGV"	"v."	"ACT.CONC"	"increase"
"77"	"a"	"voiced"	"Abulik "	"MGV"	"adj."	"PROP.CONC"	"vertical"
"78"	"a"	"voiced"	"Abulik sov-razh "	"MGV"	"n."	"OBJ.CONC"	"air pocket"
"79"	"a"	"voiced"	"Abun-dvunek "	"MGV"	"n."	"OBJ.CONC"	"erector"
"80"	"a"	"voiced"	"Abunaf "	"MGV"	"n."	"OBJ.CONC"	"uplink"
"81"	"a"	"voiced"	"Abunuhal-tor "	"MGV"	"v."	"ACT.CONC"	"pitch"
"82"	"a"	"voiced"	"Abunuhalan "	"MGV"	"n."	"OBJ.CONC"	"pitch"
"83"	"a"	"voiced"	"Abusalan-, Abusalanik "	"MGV"	"adj."	"PROP.CONC"	"upwind"
"84"	"a"	"voiced"	"Abuthresha "	"MGV"	"v."	"ACT.CONC"	"throttle up"
"85"	"a"	"voiced"	"Abutsuplau "	"MGV"	"v."	"ACT.CONC"	"surrender"
"86"	"a"	"voiced"	"Abutsuplaya "	"MGV"	"n."	"OBJ.CONC"	"surrender"
"87"	"a"	"voiced"	"Abuvenik "	"MGV"	"adj."	"PROP.CONC"	"upright"
"88"	"a"	"voiced"	"Achut "	"MGV"	"n."	"OBJ.CONC"	"brush"
"89"	"a"	"voiced"	"Af'traul "	"MGV"	"n."	"OBJ.CONC"	"utensil"
"90"	"a"	"voiced"	"Af'tum "	"anc."	"n."	"OBJ.CONC"	"kitchen"
"91"	"a"	"voiced"	"Afer-tor "	"MGV"	"v."	"ACT.CONC"	"establish, found"
"92"	"a"	"voiced"	"Aferal-, Aferalik "	"MGV"	"adj."	"PROP.CONC"	"established, founded"
"93"	"a"	"voiced"	"Aferteraya "	"MGV"	"n."	"OBJ.CONC"	"corporation"
"94"	"a"	"voiced"	"Afsakau "	"MGV"	"v."	"ACT.CONC"	"declare, proclaim"
"95"	"a"	"voiced"	"Afsakaya "	"MGV"	"n."	"OBJ.CONC"	"declaration, proclamation"
"96"	"a"	"voiced"	"Agreibau "	"MGV"	"v."	"ACT.CONC"	"torture"
"97"	"a"	"voiced"	"Agreibaya "	"MGV"	"n."	"OBJ.CONC"	"torture"
"98"	"a"	"voiced"	"Ahahr-tukh "	"MGV"	"n."	"OBJ.CONC"	"rhenium"
"99"	"a"	"voiced"	"Ahkh "	"anc."	"n."	"OBJ.CONC"	"war"
"100"	"a"	"voiced"	"Ahkh-pidsu "	"MGV"	"n."	"OBJ.CONC"	"warlord"
"101"	"a"	"voiced"	"Ahkh-zhagralar "	"MGV"	"n."	"OBJ.CONC"	"wargames"
"102"	"a"	"voiced"	"Ahkhan "	"MGV"	"n."	"OBJ.CONC"	"warfare"
"103"	"a"	"voiced"	"Ahkhinahru "	"anc."	"n."	"OBJ.CONC"	"ancient battlefield psionic warrior"
"104"	"a"	"voiced"	"Ahkhsu "	"MGV"	"n."	"OBJ.CONC"	"warrior"
"105"	"a"	"voiced"	"Ahklavau "	"MGV"	"v."	"ACT.CONC"	"reveal"
"106"	"a"	"voiced"	"Ahl-tukh "	"MGV"	"n."	"OBJ.CONC"	"iridium"
"107"	"a"	"voiced"	"Ahm "	"MGV"	"n."	"OBJ.CONC"	"name"
"108"	"a"	"voiced"	"Ahm-rubah "	"MGV"	"n."	"OBJ.CONC"	"name change"
"109"	"a"	"voiced"	"Ahm-tor "	"MGV"	"v."	"ACT.CONC"	"name"
"110"	"a"	"voiced"	"Ahm-van-kal "	"MGV"	"n."	"OBJ.CONC"	"naming ceremony"
"111"	"a"	"voiced"	"Ahn-vahr "	"anc."	"n."	"OBJ.CONC"	"suicide dagger"
