variety	FRST_LETTER	voicing	n	Freq
anc.	a	1	9	0.002057613
anc.	b	1	9	0.002057613
anc.	d	1	9	0.002057613
anc.	e	1	3	0.000685871
anc.	f	0	6	0.001371742
anc.	g	1	6	0.001371742
anc.	h	0	6	0.001371742
anc.	i	1	2	0.000457247
anc.	k	0	30	0.006858711
anc.	l	1	9	0.002057613
anc.	m	1	5	0.001143118
anc.	n	1	6	0.001371742
anc.	o	1	6	0.001371742
anc.	p	0	10	0.002286237
anc.	r	1	6	0.001371742
anc.	s	0	16	0.003657979
anc.	t	0	12	0.002743484
anc.	u	1	1	0.000228624
anc.	v	1	9	0.002057613
anc.	w	1	1	0.000228624
anc.	y	1	1	0.000228624
anc.	z	1	3	0.000685871
MGV	a	1	257	0.058756287
MGV	b	1	99	0.022633745
MGV	d	1	236	0.05395519
MGV	e	1	146	0.033379058
MGV	f	0	164	0.037494284
MGV	g	1	98	0.022405121
MGV	h	0	131	0.029949703
MGV	i	1	66	0.015089163
MGV	k	0	388	0.08870599
MGV	l	1	118	0.026977595
MGV	m	1	230	0.052583448
MGV	n	1	216	0.049382716
MGV	o	1	44	0.010059442
MGV	p	0	195	0.044581619
MGV	r	1	170	0.038866027
MGV	s	0	569	0.130086877
MGV	t	0	461	0.105395519
MGV	u	1	49	0.011202561
MGV	v	1	200	0.045724737
MGV	w	1	129	0.029492455
MGV	y	1	130	0.029721079
MGV	z	1	113	0.025834476
