"FRST_LETTER"	"vulcan"	"pronunciation"	"variety"	"pos"	"fse"	"misc"
"1"	"a"	"A'gal "	" _ - ' g_l "	"MGV"	NA	" proton"	""
"2"	"a"	"A'gal-lushun "	NA	"MGV"	NA	" proton torpedo"	""
"3"	"a"	"A'ho "	NA	"MGV"	NA	" hello"	""
"4"	"a"	"A'rak-, A'rakik "	" _ - ' r_k "	"MGV"	NA	" positive"	"polarity"
"5"	"a"	"A'rak-falun "	NA	"MGV"	NA	" positive charge"	""
"6"	"a"	"A'rak-falun-krus "	NA	"MGV"	NA	" positive ion"	""
"7"	"a"	"A'rak-narak'es "	NA	"MGV"	NA	" positive polarity"	""
"8"	"a"	"Aberala "	" _ - be - ' r_ - l_ "	"MGV"	NA	" aerofoil, airfoil"	""
"9"	"a"	"Aberala-tchakat "	" - t__ - ' k_t "	"MGV"	NA	" camber"	"aero."
"10"	"a"	"Aberayek "	" _ - be - ' r_ - jek "	"MGV"	"n."	" crane"	""
"11"	"a"	"Aberofek "	" _ - be - ' ro - fek "	"MGV"	NA	" derrick"	""
"12"	"a"	"Abevipladau "	NA	"MGV"	"v."	" dub"	""
"13"	"a"	"Abi' "	" _ - ' bi "	"MGV"	"prep."	" until"	""
"14"	"a"	"Abmarkan-, Abmarkanik "	NA	"MGV"	NA	" buoyant"	""
"15"	"a"	"Abmarkan'es "	NA	"MGV"	NA	" buoyancy"	""
"16"	"a"	"Abmarkan'es-svitan "	NA	"MGV"	NA	" center of buoyancy"	""
"17"	"a"	"Abomesayik vath-sfek-aus "	NA	"MGV"	NA	" arccosecant"	""
"18"	"a"	"Abomesayik vath-sfek-vel "	NA	"MGV"	NA	" arccotangent"	""
"19"	"a"	"Abomesayik vath-tavat-zes "	NA	"MGV"	NA	" arccosine"	""
"20"	"a"	"Abomesayik vul-tavat-zes "	NA	"MGV"	NA	" arcsine"	""
"21"	"a"	"Abomesayik weht-sfek-aus "	NA	"MGV"	NA	" arcsecant"	""
"22"	"a"	"Abomesayik wuh-sfek-vel "	NA	"MGV"	NA	" arctangent"	""
"23"	"a"	"Aborau "	" _ - bo - ' ra_ "	"MGV"	"v."	" boost"	""
"24"	"a"	"Aborau-yon-hashek "	NA	"MGV"	NA	" booster rocket"	""
"25"	"a"	"Aboraya "	NA	"MGV"	"n."	" boost"	""
"26"	"a"	"Aborayek "	NA	"MGV"	NA	" booster"	""
"27"	"a"	"Aborayek-dahshaya "	NA	"MGV"	NA	" booster separation"	""
"28"	"a"	"Abrash "	" _ - ' br__ "	"MGV"	"n."	" flood"	""
"29"	"a"	"Abrash-eiktra "	NA	"MGV"	NA	" flood plain"	""
"30"	"a"	"Abrash-masu "	NA	"MGV"	NA	" floodwater"	"s"
"31"	"a"	"Abrash-pthak "	NA	"MGV"	NA	" antlophobia"	""
"32"	"a"	"Abrash-temep "	NA	"MGV"	NA	" floodgate"	""
"33"	"a"	"Abrash-temok "	NA	"MGV"	NA	" floodwall"	""
"34"	"a"	"Abrash-tor "	NA	"MGV"	"v."	" flood"	""
"35"	"a"	"Abru' "	" _ - ' bru "	"MGV"	"prep."	" above, over"	""
"36"	"a"	"Abru'es "	" _ - ' bru - es "	"MGV"	NA	" dominance"	""
"37"	"a"	"Abru'mesukh"	NA	"obs."	NA	" across"	""
"38"	"a"	"Abru-ahs|-hinek| "	NA	"MGV"	NA	" maxilla"	"anat."
"39"	"a"	"Abru-kapol-nafek "	NA	"MGV"	NA	" adrenal gland"	""
"40"	"a"	"Abru-kar-hinek "	NA	"MGV"	NA	" humerus"	"anat."
"41"	"a"	"Abru-mal "	NA	"MGV"	NA	" thigh"	""
"42"	"a"	"Abru-mal-hinek "	NA	"MGV"	NA	" femur, thighbone"	""
"43"	"a"	"Abru-mes "	NA	"MGV"	"n."	" crossover"	""
