index	FRST_LETTER	vulcan	pronunciation	variety	pos	croftian_crossling_concepts	fse	misc
1	a	A'gal 	 _ - ' g_l 	MGV	n.	OBJ.CONC	proton	
2	a	A'gal-lushun 	NA	MGV	n.	OBJ.CONC	proton torpedo	Star Trek-specific term
3	a	A'ho 	NA	MGV	interj.	interjection	hello	
4	a	A'rak-, A'rakik 	 _ - ' r_k 	MGV	n.	OBJ.CONC	positive (polarity)	
5	a	A'rak-falun 	NA	MGV	n.	OBJ.CONC	positive charge	
6	a	A'rak-falun-krus 	NA	MGV	n.	OBJ.CONC	positive ion	
7	a	A'rak-narak'es 	NA	MGV	n.	OBJ.CONC	positive polarity	
8	a	Aberala 	 _ - be - ' r_ - l_ 	MGV	n.	OBJ.CONC	aerofoil, airfoil	
9	a	Aberala-tchakat 	 - t__ - ' k_t 	MGV	n.	OBJ.CONC	camber	aero.
10	a	Aberayek 	 _ - be - ' r_ - jek 	MGV	n.	OBJ.CONC	crane	
11	a	Aberofek 	 _ - be - ' ro - fek 	MGV	n.	OBJ.CONC	derrick	
12	a	Abevipladau 	NA	MGV	v.	ACT.CONC	dub	
13	a	Abi' 	 _ - ' bi 	MGV	prep.	SITU.MOD	until	
14	a	Abmarkan-, Abmarkanik 	NA	MGV	adj.	PROP.CONC	buoyant	
15	a	Abmarkan'es 	NA	MGV	n.	OBJ.CONC	buoyancy	
16	a	Abmarkan'es-svitan 	NA	MGV	n.	OBJ.CONC	center of buoyancy	
17	a	Abomesayik vath-sfek-aus 	NA	MGV	n.	OBJ.CONC	arccosecant	math.
18	a	Abomesayik vath-sfek-vel 	NA	MGV	n.	OBJ.CONC	arccotangent	
19	a	Abomesayik vath-tavat-zes 	NA	MGV	n.	OBJ.CONC	arccosine	math.
20	a	Abomesayik vul-tavat-zes 	NA	MGV	n.	OBJ.CONC	arcsine	math.
21	a	Abomesayik weht-sfek-aus 	NA	MGV	n.	OBJ.CONC	arcsecant	math.
22	a	Abomesayik wuh-sfek-vel 	NA	MGV	n.	OBJ.CONC	arctangent	math.
23	a	Aborau 	 _ - bo - ' ra_ 	MGV	v.	ACT.CONC	boost	rocketry
24	a	Aborau-yon-hashek 	NA	MGV	n.	OBJ.CONC	booster rocket	rocketry
25	a	Aboraya 	NA	MGV	n.	OBJ.CONC	boost	rocketry
26	a	Aborayek 	NA	MGV	n.	OBJ.CONC	booster	rocketry
27	a	Aborayek-dahshaya 	NA	MGV	n.	OBJ.CONC	booster separation	rocketry
28	a	Abrash 	 _ - ' br__ 	MGV	n.	OBJ.CONC	flood	
29	a	Abrash-eiktra 	NA	MGV	n.	OBJ.CONC	flood plain	
30	a	Abrash-masu 	NA	MGV	n.	OBJ.CONC	floodwater(s)	
