FRST_LETTER	WORD-V
a	A'gal \ _ - ' g_l \ -- proton
a	A'gal-lushun -- proton torpedo
a	A'ho -- hello
a	A'rak-, A'rakik \ _ - ' r_k \ -- positive (polarity)
a	A'rak-falun -- positive charge
a	A'rak-falun-krus -- positive ion
a	A'rak-narak'es -- positive polarity
a	Aberala \ _ - be - ' r_ - l_ \ -- aerofoil, airfoil
a	Aberala-tchakat \ - t__ - ' k_t \ -- camber (aero.)
a	Aberayek \ _ - be - ' r_ - jek \ -- crane (n.)
a	Aberofek \ _ - be - ' ro - fek \ -- derrick
a	Abevipladau -- dub (v.)
a	Abi' \ _ - ' bi \ -- until (prep.)
a	Abmarkan-, Abmarkanik -- buoyant
a	Abmarkan'es -- buoyancy
a	Abmarkan'es-svitan -- center of buoyancy
a	Abomesayik vath-sfek-aus -- arccosecant
a	Abomesayik vath-sfek-vel -- arccotangent
a	Abomesayik vath-tavat-zes -- arccosine
a	Abomesayik vul-tavat-zes -- arcsine
a	Abomesayik weht-sfek-aus -- arcsecant
a	Abomesayik wuh-sfek-vel -- arctangent
a	Aborau \ _ - bo - ' ra_ \ -- boost (v.)
a	Aborau-yon-hashek -- booster rocket
a	Aboraya -- boost (n.)
a	Aborayek -- booster
a	Aborayek-dahshaya -- booster separation
a	Abrash \ _ - ' br__ \ -- flood (n.)
a	Abrash-eiktra -- flood plain
a	Abrash-masu -- floodwater(s)
a	Abrash-pthak -- antlophobia
a	Abrash-temep -- floodgate
a	Abrash-temok -- floodwall
a	Abrash-tor -- flood (v.)
a	Abru' \ _ - ' bru \ -- above, over (prep.)
a	Abru'es \ _ - ' bru - es \ -- dominance
a	Abru'mesukh (obs.) -- across
a	Abru-ahs|-hinek| -- maxilla (anat.)
a	Abru-kapol-nafek -- adrenal gland
a	Abru-kar-hinek -- humerus (anat.)
a	Abru-mal -- thigh
a	Abru-mal-hinek -- femur, thighbone
a	Abru-mes -- crossover (n.)
a	Abru-ralashik -- supersonic
a	Abru-ralashik ifis-hali -- supersonic transport (SST)
a	Abru-spis -- anticline
a	Abru-su'us -- numerator
a	Abru-tchakat -- camber (eng., mech.)
a	Abru-tus -- overload (n.)
a	Abru-tus-nelayek -- overload suppressor
a	Abru-tus-tor -- overload (v.)
a	Abru-tvi-kovtra -- asthenosphere
a	Abru-vulu -- obtuse angle
a	Abru-yetural-, Abru-yeturalik -- overdriven (adj.)
a	Abru-zan-mev -- periscope
a	Abrukhau -- dominate
a	Abrumashen-, abrumashenik -- awash
a	Abruneniwau -- supervise
a	Abruneniwausu -- supervisor
a	Abrupik \ _ - ' bru - pik \ -- dominant
a	Abrupodon -- profit (n.)
a	Abruven-esh-nosh -- orthopnea
a	Absakau -- raid (v.)
a	Absakausu -- raider, marauder
a	Abu, Abu' -- up
a	Abu'le \ _ - ' bu - le \ -- upward(s)
a	Abu'shi -- aloft
a	Abu'tvau -- swing up
a	Abu-dvun-, Abu-dvunik -- anabatic (adj.)
a	Abu-pla'dor-hinek -- thoracic vertebra
a	Abu-to'ovayak -- stalagmite
a	Abu-tor -- erect, put up
a	Abu-vla-nu'leyik -- upside-down (adj.)
a	Abu-yumaya -- updraft (n.)
a	Abuhish -- upward pressure
a	Abukhau \ _ - bu - ' xa_ \ -- rule over
a	Abulau \ _ - bu - ' la_ \ -- increase (v.)
a	Abulik -- vertical (adj.)
a	Abulik sov-razh -- air pocket
a	Abun-dvunek -- erector (anat.)
a	Abunaf \ _ - bu - ' n_f \ -- uplink (n.)
a	Abunuhal-tor -- pitch (v., aero.)
a	Abunuhalan -- pitch (n., aero.)
a	Abusalan-, Abusalanik -- upwind (adj.)
a	Abuthresha -- throttle up (v.)
a	Abutsuplau -- surrender (v.)
a	Abutsuplaya -- surrender (n.)
a	Abuvenik \ _ - ' bu - ve - nik \ -- upright
a	Achut \ _ - ' t_ut \ -- brush (n.)
a	Af'traul -- utensil
a	Af'tum \ ' _f - tum \ (anc.) -- kitchen
a	Afer-tor \ _ - fer - ' tor \ -- establish, found (v.)
a	Aferal-, Aferalik -- established, founded (adj.)
a	Aferteraya -- corporation
a	Afsakau -- declare, proclaim
a	Afsakaya -- declaration, proclamation
a	Agreibau -- torture (v.)
a	Agreibaya -- torture (n.)
a	Ahahr-tukh -- rhenium
a	Ahkh \ _'x , _x \ (anc.) -- war (n.)
a	Ahkh-pidsu -- warlord
a	Ahkh-zhagralar -- wargames
a	Ahkhan \ _'x - ' _n , _x - \ -- warfare
a	Ahkhinahru \ _'x - i - ' n_r - u , _x - \ (anc.) -- ancient battlefield psionic warrior
a	Ahkhsu \ ' _'x - su , ' _x - \ -- warrior
a	Ahklavau -- reveal
a	Ahl-tukh -- iridium
a	Ahm \ _'m , _m \ -- name (n.)
a	Ahm-rubah -- name change
a	Ahm-tor \ _'m - ' tor , _m - \ -- name (v.)
a	Ahm-van-kal -- naming ceremony
a	Ahn-vahr \ _'n - ' v_'r , _n - ' v_r \ (anc.) -- suicide dagger
a	Ahn-wun \ _'n - ' wun , _n - \ (anc.) -- strap-like weapon, often with a weighted end
a	Ahs \ _'s , _s \ -- jaw (n.)
a	Aht'lahntik Masutra -- Atlantic Ocean
a	Aid \ a_d \ -- contentment
a	Aidihn|-| \ ' a_d - _n \ -- contented (adj.)
a	Aifa \ ' a_ - f_ \ -- these
a	Aikum \ ' a_ - kum \ -- moon (n.)
a	Aikum-ek'duv -- lunar eclipse
a	Aikum-ha'gel -- moonlight
a	Aikum-shen -- moonrise
a	Aikum-solek -- lunar regolith
a	Aikum-tal -- selenology
a	Aikum-tevan -- moonset
a	Ailin-tukh -- gabbro
a	Ain -- garment
a	Aisha \ ' a_ - __ \ -- cause (v.)
a	Aishan \ a_ - ' __n \ -- cause (n.)
a	Aitlu \ a_t - ' lu \ -- desire, want (v.)
a	Aitlun \ a_t - ' lun \ -- desire, want (n.)
a	Ak -- soon
a	Ak'spra \ ' _k - spr_ \ (NGS) -- heretic, unorthodox believer
a	Ak'wik \ _k - ' wik \ -- surprised (adj.)
a	Ak'wik-abrash -- flash flood
a	Ak'wikman -- surprise (v.)
a	Akali|-| \ _ - ' k_ - li \ -- urgent
a	Akan|-| -- alien, ecdemic, exotic (not native)
a	Akan-ha-tal -- xenobiology
a	Akan-ha-talsu -- xenobiologist
a	Akan-tor -- alienate
a	Akanal-, Akanalik -- alienated (adj.)
a	Akansu \ _ - ' k_n - su \ -- alien (n.)
a	Akarshif \ _ - k_r - ' _if \ -- a long time
a	Akhlami \ _ - ' xl_ - mi \ -- among us
a	Akteibuhl \ _k - ' te_ - b_l , - b_l \ -- attainment
a	Alakolah -- ripple (v.)
a	Alakolan -- ripple (n.)
a	Alem \ _ - ' lem \ -- salt (n.)
a	Alem'es -- saltiness, salinity
a	Alem-flash -- mangrove swamp
a	Alem-kov -- halite, rock salt
a	Alem-masu -- saltwater (n.)
a	Alem-masu-kastra -- salt(water) marsh
a	Alem-sis -- salt depletion
a	Alem-solek -- saline soil
a	Alem-suk'muzh -- salt lake
a	Alem-tukh -- sodium, natrium
a	Alemik -- salty, saline
a	Alemtra -- sabkha (geol.)
a	Aluk \ _ - ' luk \ -- fish (n.)
a	Aluk-kak -- fishbowl
a	Aluk-kelek -- aquarium
a	Aluk-kum-fek -- fishing pole
a	Aluk-kum-kik -- fishhook
a	Aluk-kum-mashali -- fishing boat
a	Aluk-kum-tor -- fish (v.)
a	Aluk-kumsu -- fisherman
a	An-bet (anc.) -- gable (n.)
a	An-kharkh \ _n - ' x_rx \ (obs.) -- fear (n.)
a	An-prele \ _n - ' pre - le \ (NGS) -- pain control meditation
a	Andorsu \ _n - ' dor - su \ -- Andorian (person/language)
a	Ap'hashau \ _p - h_ - ' _a_ \ -- ricochet (v.)
a	Ap'hashaya -- ricochet (n.)
a	Apalikau-zehlanaya -- startup sequence
a	Apalikaya -- startup, start-up
a	Apumeskarau -- take a hold of
a	Ar'ka-halek -- flywheel
a	Ar'kada \ _r - ' k_ - d_ \ -- work (v.)
a	Ar'kada-lashi -- workstation
a	Ar'kada-pthak -- ergophobia
a	Ar'kadan \ _r - k_ - ' d_n \ -- work, chore, task, job
a	Ar'tu \ ' _r - tu \ (anc.) -- project (n.)
a	Arlanga -- a Vulcan mountain range
a	Arlanga-tukh -- yttrium
a	Aru \ _ - ' ru \ (anc.) -- afternoon
a	"Aru-yem -- dinner, ""afternoon meal"""
a	Asal \ _ - ' s_l \ -- morning
a	Asal-masu -- dew (n.)
a	Asal-masu-sfek -- dew point
a	Asal-masu-thek -- dewdrop
a	Asal-masu-thonek -- drosometer
a	"Asal-yem -- breakfast, ""morning meal"""
a	Ash'ai \ __ - ' a_ \ -- sock, stocking
a	Ash'ai-zhel -- garter
a	Ash'el \ __ - ' el \ (MGV) -- shoe (n.)
a	Ash'gelfek -- perch (n.)
a	Ash'kwitayek -- pedal (n.)
a	Ash'ya \ ' __ - j_ \ -- foot
a	Ash'ya-dukal -- football (the ball), soccer ball
a	Ash'ya-dukal-torvukh -- football (the sport), soccer
a	Ash'ya-fam-, ash'ya-famik -- apodal, apodous, footless
a	Ash'ya-hilek -- spade (n.)
a	Ash'ya-sai-vel -- footwear
a	Ash'yaidar \ __ - ja_ - ' d_r \ -- footprint (n.)
a	Ash'yakhut -- slipper (n.)
a	Ash-tor -- step, tread (v.)
a	Ash-vel \ __ - ' vel \ (TGV) -- shoe (n.)
a	Ashal-, Ashalik -- (be)loved, darling (adj.)
a	Ashal-veh -- beloved, darling, sweetheart (n.)
a	Ashau \ _ - ' _a_ \ -- love (v.)
a	Ashau-krel-masu -- love potion
a	Ashaun-, Ashaunik -- loving (adj.)
a	Ashausu -- lover
a	Ashaya-var -- love story
a	Ashen-fau-yut -- causeway
a	Ashen-padukau-rala -- elevon
a	Ashenau \ _ - _en - ' a_ \ -- raise, elevate, amplify
a	Ashenayek -- elevator (aero., anat.), amplifier (electr.)
a	Ashenek \ _ - ' _en - ek \ -- exponent (math.)
a	Ashiv-tor -- repeat (v.)
a	Ashivau \ _ - _i - ' va_ \ -- iterate
a	Ask'er \ _sk - ' er \ -- army
a	Ask'ersu -- soldier
a	Ask'ersu-kelek -- barracks
a	Ask'ersu-leshek -- troop carrier
a	Ask'plak-, Ask'plakik -- tactical (adj.)
a	Ask'plak-galu-wun -- tactical nuclear weapon
a	Ask'plak-lansu -- tactical officer
a	Ask'plak-lashi -- tactical station
a	Ask'plakanu -- tactics
a	Aski|-| \ ' _s - ki \ -- mighty, military (adj.)
