"FRST_LETTER"	"vulcan"	"pronunciation"	"variety"	"fse"	"domain"
"1"	"a"	"A'gal "	" _ - ' g_l "	"MGV"	" proton"	NA
"2"	"a"	"A'gal-lushun "	NA	"MGV"	" proton torpedo"	NA
"3"	"a"	"A'ho "	NA	"MGV"	" hello"	NA
"4"	"a"	"A'rak-, A'rakik "	" _ - ' r_k "	"MGV"	" positive"	"polarity"
"5"	"a"	"A'rak-falun "	NA	"MGV"	" positive charge"	NA
"6"	"a"	"A'rak-falun-krus "	NA	"MGV"	" positive ion"	NA
"7"	"a"	"A'rak-narak'es "	NA	"MGV"	" positive polarity"	NA
"8"	"a"	"Aberala "	" _ - be - ' r_ - l_ "	"MGV"	" aerofoil, airfoil"	NA
"9"	"a"	"Aberala-tchakat "	" - t__ - ' k_t "	"MGV"	" camber"	"aero."
"10"	"a"	"Aberayek "	" _ - be - ' r_ - jek "	"MGV"	" crane"	"n."
"11"	"a"	"Aberofek "	" _ - be - ' ro - fek "	"MGV"	" derrick"	NA
"12"	"a"	"Abevipladau "	NA	"MGV"	" dub"	"v."
"13"	"a"	"Abi' "	" _ - ' bi "	"MGV"	" until"	"prep."
"14"	"a"	"Abmarkan-, Abmarkanik "	NA	"MGV"	" buoyant"	NA
"15"	"a"	"Abmarkan'es "	NA	"MGV"	" buoyancy"	NA
"16"	"a"	"Abmarkan'es-svitan "	NA	"MGV"	" center of buoyancy"	NA
"17"	"a"	"Abomesayik vath-sfek-aus "	NA	"MGV"	" arccosecant"	NA
"18"	"a"	"Abomesayik vath-sfek-vel "	NA	"MGV"	" arccotangent"	NA
"19"	"a"	"Abomesayik vath-tavat-zes "	NA	"MGV"	" arccosine"	NA
"20"	"a"	"Abomesayik vul-tavat-zes "	NA	"MGV"	" arcsine"	NA
"21"	"a"	"Abomesayik weht-sfek-aus "	NA	"MGV"	" arcsecant"	NA
"22"	"a"	"Abomesayik wuh-sfek-vel "	NA	"MGV"	" arctangent"	NA
"23"	"a"	"Aborau "	" _ - bo - ' ra_ "	"MGV"	" boost"	"v."
"24"	"a"	"Aborau-yon-hashek "	NA	"MGV"	" booster rocket"	NA
"25"	"a"	"Aboraya "	NA	"MGV"	" boost"	"n."
"26"	"a"	"Aborayek "	NA	"MGV"	" booster"	NA
"27"	"a"	"Aborayek-dahshaya "	NA	"MGV"	" booster separation"	NA
"28"	"a"	"Abrash "	" _ - ' br__ "	"MGV"	" flood"	"n."
"29"	"a"	"Abrash-eiktra "	NA	"MGV"	" flood plain"	NA
"30"	"a"	"Abrash-masu "	NA	"MGV"	" floodwater"	"s"
"31"	"a"	"Abrash-pthak "	NA	"MGV"	" antlophobia"	NA
"32"	"a"	"Abrash-temep "	NA	"MGV"	" floodgate"	NA
"33"	"a"	"Abrash-temok "	NA	"MGV"	" floodwall"	NA
"34"	"a"	"Abrash-tor "	NA	"MGV"	" flood"	"v."
"35"	"a"	"Abru' "	" _ - ' bru "	"MGV"	" above, over"	"prep."
"36"	"a"	"Abru'es "	" _ - ' bru - es "	"MGV"	" dominance"	NA
"37"	"a"	"Abru'mesukh"	NA	"obs."	" across"	NA
"38"	"a"	"Abru-ahs|-hinek| "	NA	"MGV"	" maxilla"	"anat."
"39"	"a"	"Abru-kapol-nafek "	NA	"MGV"	" adrenal gland"	NA
"40"	"a"	"Abru-kar-hinek "	NA	"MGV"	" humerus"	"anat."
"41"	"a"	"Abru-mal "	NA	"MGV"	" thigh"	NA
"42"	"a"	"Abru-mal-hinek "	NA	"MGV"	" femur, thighbone"	NA
"43"	"a"	"Abru-mes "	NA	"MGV"	" crossover"	"n."
"44"	"a"	"Abru-ralashik "	NA	"MGV"	" supersonic"	NA
"45"	"a"	"Abru-ralashik ifis-hali "	NA	"MGV"	" supersonic transport "	"SST"
"46"	"a"	"Abru-spis "	NA	"MGV"	" anticline"	NA
"47"	"a"	"Abru-su'us "	NA	"MGV"	" numerator"	NA
"48"	"a"	"Abru-tchakat "	NA	"MGV"	" camber"	"eng., mech."
"49"	"a"	"Abru-tus "	NA	"MGV"	" overload"	"n."
"50"	"a"	"Abru-tus-nelayek "	NA	"MGV"	" overload suppressor"	NA
"51"	"a"	"Abru-tus-tor "	NA	"MGV"	" overload"	"v."
"52"	"a"	"Abru-tvi-kovtra "	NA	"MGV"	" asthenosphere"	NA
"53"	"a"	"Abru-vulu "	NA	"MGV"	" obtuse angle"	NA
"54"	"a"	"Abru-yetural-, Abru-yeturalik "	NA	"MGV"	" overdriven"	"adj."
"55"	"a"	"Abru-zan-mev "	NA	"MGV"	" periscope"	NA
"56"	"a"	"Abrukhau "	NA	"MGV"	" dominate"	NA
"57"	"a"	"Abrumashen-, abrumashenik "	NA	"MGV"	" awash"	NA
"58"	"a"	"Abruneniwau "	NA	"MGV"	" supervise"	NA
"59"	"a"	"Abruneniwausu "	NA	"MGV"	" supervisor"	NA
"60"	"a"	"Abrupik "	" _ - ' bru - pik "	"MGV"	" dominant"	NA
"61"	"a"	"Abrupodon "	NA	"MGV"	" profit"	"n."
"62"	"a"	"Abruven-esh-nosh "	NA	"MGV"	" orthopnea"	NA
"63"	"a"	"Absakau "	NA	"MGV"	" raid"	"v."
"64"	"a"	"Absakausu "	NA	"MGV"	" raider, marauder"	NA
"65"	"a"	"Abu, Abu' "	NA	"MGV"	" up"	NA
"66"	"a"	"Abu'le "	" _ - ' bu - le "	"MGV"	" upward"	"s"
"67"	"a"	"Abu'shi "	NA	"MGV"	" aloft"	NA
"68"	"a"	"Abu'tvau "	NA	"MGV"	" swing up"	NA
"69"	"a"	"Abu-dvun-, Abu-dvunik "	NA	"MGV"	" anabatic"	"adj."
"70"	"a"	"Abu-pla'dor-hinek "	NA	"MGV"	" thoracic vertebra"	NA
