FRST_LETTER	WORD-V
a	Abru-ru'lut-isachya -- loch
a	Abru-shal -- Dung
a	Abrukhau -- ghatlh
a	Abulau -- ghur
a	Abutsuplau -- jegh
a	Afer-tor -- cher
a	Afsakau -- maq
a	Agreibau -- joy'
a	Ahm -- pong
a	Ahm-tor -- pong
a	Aikum -- maS
a	Aikum-ha'gel -- maSwov
a	Aitlu -- neH
a	Ak -- tugh
a	Ak'wikmun -- mer
a	Akansu -- nov
a	Anemihalikaya -- qIQ
a	Ar'kada-tukh -- luch
a	Ar'tu -- jInmol
a	Asal-yem -- nIQ
a	Ash'ailar -- paSlogh
a	Ash'el -- waq
a	Ashal-veh -- bang
a	Ask'er -- mangghom
a	Ask'ersu -- mang
a	Ask'ersular -- negh
a	Au -- chaH
a	Aushfa -- Ha'DIbaH
b	Be'hai'la -- meb
b	Behsu -- jIl
b	Betau -- chol
b	Bezhun -- mIn
b	Bezhun-zehl -- Huy'
b	Buhshausu -- HeSwI'
b	Buhshaya -- HeS
d	D'ohan -- mIS
d	Da-kuv -- gho
d	Dah|kuh| -- cha'
d	Dah'veh -- cha'DIch
d	Dah'wak -- cha'logh
d	Dah-pim-khush -- cha'pujqut
d	Dah-pim-tukh -- cha'puj
d	Dahshau -- chev
d	Dakharau-shal -- Degh
d	Dakharausu -- DeghwI'
d	Deshkau -- yu'
d	Donku -- Huch
d	Dor -- batlh
d	Doromnah-tor -- Ho'
d	Dotor -- nab
d	Drahk -- Hugh
d	Dun -- nav
d	Duta'es -- ghar
d	Dutar -- gharwI'
d	Duv -- QIb
d	Dva-tor -- Har
d	Dvel -- DuH
d	Dvel-feim -- HIDjolev
d	Dvelek -- leQ
d	Dvin-sai-vel -- HIp
e	Eh -- je
e	Eik'es -- chuq
e	Eilbak -- Haj
e	Ein-veh -- vay
e	Ein-vel -- vay'
e	Ein-wilat -- vogh
e	Ek, Ek' -- Hoch
e	Ek'kal -- moQ
e	Ek'neikau -- chargh
e	Ek'tal -- QeD
e	Ek'tal-lansu -- QeDpIn
e	Ek'talsu -- tej
e	Ek'tra -- yuQ
e	Ek'trasha -- choS, lon
e	Ekhartau -- loH
e	Ekhartaya -- loH
e	El'mish -- jan
e	El'ru -- ghop
e	El'ru-kisev -- ghItlh
e	El'ru-pohshayek (TGV), El'ru-pohshek (MGV) -- HIch
e	El'ru-wek-zehlek -- pu'HIch
e	El'torau -- che'
e	Elakh -- tlhegh
e	Ertau -- nuQ
e	Eshikh -- Deb
e	Estuhl -- Hot
e	Etek -- maH
e	Etlavau -- bot
e	Etwel -- maH
f	Fabehal-tor -- juS
f	Fai-tor -- Sov
f	Faik -- De'
f	Falek'es -- Hat
f	Faterek -- moHaq
f	Faukh -- may'
f	Fisolekau -- Saq
f	Fna-svep -- HIchDal
f	Fnish-tor -- largh
f	Fnu-vei -- muS
f	Fo-dan -- yoD
f	Fosh -- Hub
f	Fosh-tor -- Hub
f	Fula-kahr -- mon
f	Fulag-tor -- Dev
f	Fun-tor -- chegh
g	Gad -- jaj
g	Gad fa'za-gad -- cha'Hu'
g	Gad po'fa-gad -- cha'leS
g	Gad-keshtan -- jajlo'
g	Galashau -- maS
g	Gas-vla -- nIH
g	Geldau -- HuS
g	Gen-lis -- Hol
g	Gisam -- tar
g	Gla-gluvaya -- HaSta
g	Gla-tor -- legh
g	Glan-sharu -- lur
g	Glantau -- bej
g	Glashau -- Hotlh
g	Glashayek -- HotlhwI'
g	Gluvau -- cha'
g	Gluvayek -- jIH
g	Goh -- neH
g	Gol'nevsu -- boQ
g	Gol-tor -- boQ
g	Grau -- boch
g	Grei -- vuS
h	Ha -- HIja', HISlaH
h	Ha'gel-nu-wak -- choS
h	Ha'kiv -- yIn
h	Ha'kiv-nenikau-torektra -- yIntagh
h	Ha-kel -- juH
h	Hahf -- ghol
h	Haifan -- jogwI'
h	Hakusut -- bep
h	Hal-tor -- jaH
h	Hal-tukh -- nIn
h	Halan -- leng
h	Hali -- Duj
h	Hali-dunap -- QonoS
h	Hali-sutra, Hali-suyu -- beq
h	Han -- ghIch
h	Haseret -- Hergh
h	Hashitra -- nawlogh
h	Hasu -- Dol
h	Hau -- chel
h	Heh -- je
h	Hinek -- Hom
h	Holsh -- wIch
i	I, I' -- DaH
i	Ifisek-tvi-shal -- jolpa'
i	Ifisek-zehl -- jol
i	Igen -- chal
i	Ikap-tor -- SoQmoH
i	Inigaufau -- ghoH
i	Ir -- chuq
i	Is-tor -- lo'
i	Is-tukh -- jo
i	Isacharr -- DaQ
i	Isachya -- jIb
i	Ish-veh -- ghaH
i	Izhau -- peD
k	k'Guhngi -- Do'
k	Kal-tor -- chaw'
k	Kan -- puq
k	Kan-bu -- ghu
k	Kanok-veh -- Hoch
k	Kanok-vel -- Hoch
k	Kanok-wilat -- dat
k	Kar -- deS
k	Kar-pohshayek, Kar-pohshek -- beH
k	Kar-wek-zehlek -- pu'beH
k	Karik'es -- HoS
k	Kasharitau -- Dor
k	Kashek -- noch
k	Kastkau -- poch
k	Kef-yet -- chach
k	Keh|kuh| -- loS
k	Kehr-, keh'rak -- loSDIch
k	Kel -- qach
k	Kelek-aushfa -- Saj
k	Kethelvau -- Del
k	Kharau -- chIj
k	Kharausu -- chIjwI'
k	Khardvu-tor -- QoD
k	Khart-lan -- HoD
k	Khartau -- vu'
k	Khartausu -- la', vu'wI'
k	Khau -- che'
k	Khi-gad-yem -- megh
k	Kilko-tor -- jang
k	Kisheik (nosh-zhit) -- bong
k	Kitau -- ghItlh
k	Kitek -- lam
k	Klimtau -- tet
k	Klotau -- bot
k	Kluf -- DaS
k	Kluf-lisfek -- DaSpu'
k	Ko-kai -- be'nI'
k	Ko-kan -- be'Hom
k	Ko-mekh -- SoS
k	Ko-telsu -- be'nal
k	Koltha -- ghIj
k	Komihnsu -- Human
k	Korsau -- choq, toD
k	Koshkrus -- chovnatlh
k	Koshtri -- mut
k	Koshvar -- lot
k	Kosu -- be'
k	Kov -- nagh
k	Kraisek -- mo'
k	Kriltesau -- loy
k	Krusat -- mIch
k	Ku -- toch
k	Kum-tor -- jon
k	Kun-ut -- tlhogh
k	Kunel -- HuD
k	Kup'es -- laH
k	Kuyau -- ba'
k	Kwit-tor -- ghoS
k	Kwitau-tepul -- Hong
k	Kwiteklar -- chuyDaH
k	Kwul-tor -- mup
l	La, La' -- naDev
l	Lafot -- Duy'
l	Lansu -- yaS, 'utlh
l	Le-suma -- chuch
l	Linisau -- nuD
l	Lipau -- taj
l	Lipruh -- DuQ
l	Lograzek -- bIghHa'
l	Los-vla -- poS
l	Lu -- ghorgh
l	Lushun-mev -- chetvI'
l	Lushunlar -- cha
l	Luvau -- Hob
m	Ma -- ghaj
m	Mahr-tor -- je'
m	Mal -- 'uS
m	Mal-nef -- qIv
m	Malanu -- yopwaH
m	Man-elakh -- tlhegh
m	Mashuyek -- HIvje'
m	Masu -- bIQ
m	Masutra -- bIQ'a'
m	Maut-rom -- majQa'
m	Mem-lu til-kum -- nol
m	Mes'kizh-tor -- mech
m	Mesukh-tor -- mugh
m	Mesukhsu -- mughwI'
m	Mesvlahau -- cheH
m	Mishek -- jonwI'
m	Mishitra -- luch, jo', mIqta'
m	Mishu -- jonta'
m	Mishu-leshek -- HanDogh
m	Mohrnau -- buv
m	Mohrnaya -- buv
m	Mokev -- baS
n	Nadorotokau -- Hoy'
n	Naf-elakh (TGV), Naflakh (MGV) -- mIr
n	Naglanshau -- ghov
n	Naipaloguhn -- jIp
n	Naliveh-kel -- tach
n	Naliveh-mon-torsu -- chom
n	Namal-nefau -- tor
n	Namishau -- lIS
n	Nan-tor -- buQ
n	Nar-tor -- laj
n	Naran -- laj
n	Nargitolau -- DoQ
n	Nash-veh -- jIH
n	Nashiv-tor -- HIv
n	Natel -- bobcho'
n	Nau|kuh| -- Hut
n	Naur-, Nau'rak -- HutDIch
n	Navau -- Qap
n	Navun -- Qapla'
n	Nazhu-tor -- 'Ij
n	Ne-shal -- bIng
n	Neha'gel-hal-threshan -- gho'Do
n	Nehg -- chor
n	Neikau -- jey
n	Neksu -- Da'
n	Nemut -- jagh
n	Nosh -- Dotlh
n	Notofegau -- Hup
n	Nu-tor -- chagh
n	Nuhs -- bov
n	Nulau -- nup
n	Nusarlah -- ghIr
n	Nushau -- Dej
n	Nuv-tor -- joq
n	Nuzholau -- bech
o	Odva -- lalDan
o	Oh|kuh| -- chorgh
o	Ohr-, Oh'rak -- chorghDIch
o	Olau -- Hot
o	Oluhk -- ghargh
o	Omonel -- HIq
o	Orenau -- HaD
o	Orensu -- ghojwI'
o	Orfikkel -- no'
o	Osasu -- jaw, joH
o	Ozh -- nItlh
p	Pa-yutau -- bav
p	Pabelk-tor -- ngIv
p	Pada-tor -- DIng
p	Pagun-tor -- Hay'
p	Pahth-tor -- lIm
p	Papulau -- leng
p	Paresh -- wanI'
p	Paribau -- ja'chuq
p	Paromilau -- Dub
p	Pasutau -- jech
p	Patam -- nach
p	Patyerak -- mIv
p	Pehkau -- mev
p	Pelal -- mop
p	Pen-yuk-tor -- Dum
p	Pi'ek'tra -- ghopDap, yuQHom
p	Pi-halitra -- nawlogh
p	Pid-sep-afikhan -- mab
p	Pid-sep-afikhan t'sochya -- rojmab
p	Pilash -- bIQtIq
p	Pla-tor -- DoH
p	Plakwul-tor -- noD
p	Plat -- pIp
p	Pohsh-tukh -- nIch
p	Pohshau -- bach, baH
p	Pohshausu -- baHwi', matHa'
p	Pohshaya -- bach
p	Poprah -- Hev
p	Prah -- Suq
p	Provulau -- nID
p	Psthan -- Qu'
p	Pudorilau -- lop
p	Puk'aya -- boq
p	Pukeshta -- bogh
r	Ra -- nuq
r	Ragtau -- lIH
r	Raguguvau -- boj
r	Rai -- ghobe'
r	Rakusau -- 'aw'
r	Ran-pleth -- bortaS
r	Rau-nol -- lulIgh
r	Reh-vipladayek -- Hoqra'
r	Relkugau -- 'Ip
r	Rihk -- HeH
r	Rikarplaksu -- nuch
r	Rish-tor -- DuD
r	Risuka'asu -- Dep
r	Rivak -- He
r	Riyeht-stau -- chot
r	Riyeht-var-tor -- nep
r	Riyeyikau -- lobHa'
