FRST_LETTER	voicing	vulcan	variety	pos	croftian_crossling_concepts	fse
a	1	A'gal 	MGV	n.	OBJ.CONC	proton
a	1	A'gal-lushun 	MGV	n.	OBJ.CONC	proton torpedo
a	1	A'ho 	MGV	interj.	interjection	hello
a	1	A'rak-, A'rakik 	MGV	n.	OBJ.CONC	positive (polarity)
a	1	A'rak-falun 	MGV	n.	OBJ.CONC	positive charge
a	1	A'rak-falun-krus 	MGV	n.	OBJ.CONC	positive ion
a	1	A'rak-narak'es 	MGV	n.	OBJ.CONC	positive polarity
a	1	Aberala 	MGV	n.	OBJ.CONC	aerofoil, airfoil
a	1	Aberala-tchakat 	MGV	n.	OBJ.CONC	camber
a	1	Aberayek 	MGV	n.	OBJ.CONC	crane
a	1	Aberofek 	MGV	n.	OBJ.CONC	derrick
a	1	Abevipladau 	MGV	v.	ACT.CONC	dub
a	1	Abi' 	MGV	prep.	SITU.MOD	until
a	1	Abmarkan-, Abmarkanik 	MGV	adj.	PROP.CONC	buoyant
a	1	Abmarkan'es 	MGV	n.	OBJ.CONC	buoyancy
a	1	Abmarkan'es-svitan 	MGV	n.	OBJ.CONC	center of buoyancy
a	1	Abomesayik vath-sfek-aus 	MGV	n.	OBJ.CONC	arccosecant
a	1	Abomesayik vath-sfek-vel 	MGV	n.	OBJ.CONC	arccotangent
a	1	Abomesayik vath-tavat-zes 	MGV	n.	OBJ.CONC	arccosine
a	1	Abomesayik vul-tavat-zes 	MGV	n.	OBJ.CONC	arcsine
a	1	Abomesayik weht-sfek-aus 	MGV	n.	OBJ.CONC	arcsecant
a	1	Abomesayik wuh-sfek-vel 	MGV	n.	OBJ.CONC	arctangent
a	1	Aborau 	MGV	v.	ACT.CONC	boost
a	1	Aborau-yon-hashek 	MGV	n.	OBJ.CONC	booster rocket
a	1	Aboraya 	MGV	n.	OBJ.CONC	boost
a	1	Aborayek 	MGV	n.	OBJ.CONC	booster
a	1	Aborayek-dahshaya 	MGV	n.	OBJ.CONC	booster separation
a	1	Abrash 	MGV	n.	OBJ.CONC	flood
a	1	Abrash-eiktra 	MGV	n.	OBJ.CONC	flood plain
a	1	Abrash-masu 	MGV	n.	OBJ.CONC	floodwater(s)
a	1	Abrash-pthak 	MGV	n.	OBJ.CONC	antlophobia
a	1	Abrash-temep 	MGV	n.	OBJ.CONC	floodgate
a	1	Abrash-temok 	MGV	n.	OBJ.CONC	floodwall
a	1	Abrash-tor 	MGV	v.	ACT.CONC	flood
a	1	Abru' 	MGV	prep.	SITU.MOD	above, over
a	1	Abru'es 	MGV	n.	OBJ.CONC	dominance
a	1	Abru-ahs|-hinek| 	MGV	n.	OBJ.CONC	maxilla
a	1	Abru-kapol-nafek 	MGV	n.	OBJ.CONC	adrenal gland
a	1	Abru-kar-hinek 	MGV	n.	OBJ.CONC	humerus
a	1	Abru-mal 	MGV	n.	OBJ.CONC	thigh
a	1	Abru-mal-hinek 	MGV	n.	OBJ.CONC	femur, thighbone
a	1	Abru-mes 	MGV	n.	OBJ.CONC	crossover
a	1	Abru-ralashik 	MGV	adj.	PROP.CONC	supersonic
a	1	Abru-ralashik ifis-hali 	MGV	n.	OBJ.CONC	supersonic transport (SST)
a	1	Abru-spis 	MGV	n.	OBJ.CONC	anticline
a	1	Abru-su'us 	MGV	n.	OBJ.CONC	numerator
a	1	Abru-tchakat 	MGV	n.	OBJ.CONC	camber
a	1	Abru-tus 	MGV	n.	OBJ.CONC	overload
a	1	Abru-tus-nelayek 	MGV	n.	OBJ.CONC	overload suppressor
a	1	Abru-tus-tor 	MGV	v.	ACT.CONC	overload
a	1	Abru-tvi-kovtra 	MGV	n.	OBJ.CONC	asthenosphere
a	1	Abru-vulu 	MGV	n.	OBJ.CONC	obtuse angle
a	1	Abru-yetural-, Abru-yeturalik 	MGV	adj.	PROP.CONC	overdriven
a	1	Abru-zan-mev 	MGV	n.	OBJ.CONC	periscope
a	1	Abrukhau 	MGV	v.	ACT.CONC	dominate
a	1	Abrumashen-, abrumashenik 	MGV	adj.	PROP.CONC	awash
a	1	Abruneniwau 	MGV	v.	ACT.CONC	supervise
a	1	Abruneniwausu 	MGV	n.	OBJ.CONC	supervisor
a	1	Abrupik 	MGV	adj.	PROP.CONC	dominant
a	1	Abrupodon 	MGV	n.	OBJ.CONC	profit
a	1	Abruven-esh-nosh 	MGV	n.	OBJ.CONC	orthopnea
a	1	Absakau 	MGV	v.	ACT.CONC	raid
a	1	Absakausu 	MGV	n.	OBJ.CONC	raider, marauder
a	1	Abu, Abu' 	MGV	prep.	SITU.MOD	up
a	1	Abu'le 	MGV	prep.	SITU.MOD	upward(s)
a	1	Abu'shi 	MGV	adv.	SITU.MOD	aloft
a	1	Abu'tvau 	MGV	v.	ACT.CONC	swing up
a	1	Abu-dvun-, Abu-dvunik 	MGV	adj.	PROP.CONC	anabatic
a	1	Abu-pla'dor-hinek 	MGV	n.	OBJ.CONC	thoracic vertebra
a	1	Abu-to'ovayak 	MGV	n.	OBJ.CONC	stalagmite
a	1	Abu-tor 	MGV	v.	ACT.CONC	erect, put up
a	1	Abu-vla-nu'leyik 	MGV	adj.	PROP.CONC	upside-down
a	1	Abu-yumaya 	MGV	n.	OBJ.CONC	updraft
a	1	Abuhish 	MGV	n.	OBJ.CONC	upward pressure
a	1	Abukhau 	MGV	v.	ACT.CONC	rule over
a	1	Abulau 	MGV	v.	ACT.CONC	increase
a	1	Abulik 	MGV	adj.	PROP.CONC	vertical
a	1	Abulik sov-razh 	MGV	n.	OBJ.CONC	air pocket
a	1	Abun-dvunek 	MGV	n.	OBJ.CONC	erector
a	1	Abunaf 	MGV	n.	OBJ.CONC	uplink
a	1	Abunuhal-tor 	MGV	v.	ACT.CONC	pitch
a	1	Abunuhalan 	MGV	n.	OBJ.CONC	pitch
a	1	Abusalan-, Abusalanik 	MGV	adj.	PROP.CONC	upwind
a	1	Abuthresha 	MGV	v.	ACT.CONC	throttle up
a	1	Abutsuplau 	MGV	v.	ACT.CONC	surrender
a	1	Abutsuplaya 	MGV	n.	OBJ.CONC	surrender
a	1	Abuvenik 	MGV	adj.	PROP.CONC	upright
a	1	Achut 	MGV	n.	OBJ.CONC	brush
a	1	Af'traul 	MGV	n.	OBJ.CONC	utensil
a	1	Af'tum 	anc.	n.	OBJ.CONC	kitchen
a	1	Afer-tor 	MGV	v.	ACT.CONC	establish, found
a	1	Aferal-, Aferalik 	MGV	adj.	PROP.CONC	established, founded
a	1	Aferteraya 	MGV	n.	OBJ.CONC	corporation
a	1	Afsakau 	MGV	v.	ACT.CONC	declare, proclaim
a	1	Afsakaya 	MGV	n.	OBJ.CONC	declaration, proclamation
a	1	Agreibau 	MGV	v.	ACT.CONC	torture
a	1	Agreibaya 	MGV	n.	OBJ.CONC	torture
a	1	Ahahr-tukh 	MGV	n.	OBJ.CONC	rhenium
a	1	Ahkh 	anc.	n.	OBJ.CONC	war
a	1	Ahkh-pidsu 	MGV	n.	OBJ.CONC	warlord
a	1	Ahkh-zhagralar 	MGV	n.	OBJ.CONC	wargames
a	1	Ahkhan 	MGV	n.	OBJ.CONC	warfare
a	1	Ahkhinahru 	anc.	n.	OBJ.CONC	ancient battlefield psionic warrior
a	1	Ahkhsu 	MGV	n.	OBJ.CONC	warrior
a	1	Ahklavau 	MGV	v.	ACT.CONC	reveal
a	1	Ahl-tukh 	MGV	n.	OBJ.CONC	iridium
a	1	Ahm 	MGV	n.	OBJ.CONC	name
a	1	Ahm-rubah 	MGV	n.	OBJ.CONC	name change
a	1	Ahm-tor 	MGV	v.	ACT.CONC	name
a	1	Ahm-van-kal 	MGV	n.	OBJ.CONC	naming ceremony
a	1	Ahn-vahr 	anc.	n.	OBJ.CONC	suicide dagger
a	1	Ahn-wun 	anc.	n.	OBJ.CONC	strap-like weapon, often with a weighted end
a	1	Ahs 	MGV	n.	OBJ.CONC	jaw
a	1	Aht'lahntik Masutra 	MGV	n.	OBJ.CONC	Atlantic Ocean
a	1	Aid 	MGV	n.	OBJ.CONC	contentment
a	1	Aidihn|-| 	MGV	adj.	PROP.CONC	contented
a	1	Aifa 	MGV	pron.	SITU.MOD	these
a	1	Aikum 	MGV	n.	OBJ.CONC	moon
a	1	Aikum-ek'duv 	MGV	n.	OBJ.CONC	lunar eclipse
a	1	Aikum-ha'gel 	MGV	n.	OBJ.CONC	moonlight
a	1	Aikum-shen 	MGV	n.	OBJ.CONC	moonrise
a	1	Aikum-solek 	MGV	n.	OBJ.CONC	lunar regolith
a	1	Aikum-tal 	MGV	n.	OBJ.CONC	selenology
a	1	Aikum-tevan 	MGV	n.	OBJ.CONC	moonset
a	1	Ailin-tukh 	MGV	n.	OBJ.CONC	gabbro
a	1	Ain 	MGV	n.	OBJ.CONC	garment
a	1	Aisha 	MGV	v.	ACT.CONC	cause
a	1	Aishan 	MGV	n.	OBJ.CONC	cause
a	1	Aitlu 	MGV	v.	PREDIC.MODAL	desire, want
a	1	Aitlun 	MGV	n.	OBJ.CONC	desire, want
a	1	Ak 	MGV	adv.	ACT.CONC.MOD	soon
a	1	Ak'wik 	MGV	adj.	PROP.CONC	surprised
a	1	Ak'wik-abrash 	MGV	n.	OBJ.CONC	flash flood
a	1	Ak'wikman 	MGV	v.	ACT.CONC	surprise
a	1	Akali|-| 	MGV	adj.	PROP.CONC	urgent
a	1	Akan|-| 	MGV	adj.	PROP.CONC	alien, ecdemic, exotic (not native)
a	1	Akan-ha-tal 	MGV	n.	OBJ.CONC	xenobiology
a	1	Akan-ha-talsu 	MGV	n.	OBJ.CONC	xenobiologist
a	1	Akan-tor 	MGV	v.	ACT.CONC	alienate
a	1	Akanal-, Akanalik 	MGV	adj.	PROP.CONC	alienated
a	1	Akansu 	MGV	n.	OBJ.CONC	alien
a	1	Akarshif 	MGV	adv.	ACT.CONC.MOD	a long time
a	1	Akhlami 	MGV	prep.	SITU.MOD	among us
a	1	Akteibuhl 	MGV	n.	OBJ.CONC	attainment
a	1	Alakolah 	MGV	v.	ACT.CONC	ripple
a	1	Alakolan 	MGV	n.	OBJ.CONC	ripple
a	1	Alem 	MGV	n.	OBJ.CONC	salt
a	1	Alem'es 	MGV	n.	OBJ.CONC	saltiness, salinity
a	1	Alem-flash 	MGV	n.	OBJ.CONC	mangrove swamp
a	1	Alem-kov 	MGV	n.	OBJ.CONC	halite, rock salt
a	1	Alem-masu 	MGV	n.	OBJ.CONC	saltwater
a	1	Alem-masu-kastra 	MGV	n.	OBJ.CONC	salt (water)
a	1	Alem-sis 	MGV	n.	OBJ.CONC	salt depletion
a	1	Alem-solek 	MGV	n.	OBJ.CONC	saline soil
a	1	Alem-suk'muzh 	MGV	n.	OBJ.CONC	salt lake
a	1	Alem-tukh 	MGV	n.	OBJ.CONC	sodium, natrium
a	1	Alemik 	MGV	adj.	PROP.CONC	salty, saline
a	1	Alemtra 	MGV	n.	OBJ.CONC	sabkha
a	1	Aluk 	MGV	n.	OBJ.CONC	fish
a	1	Aluk-kak 	MGV	n.	OBJ.CONC	fishbowl
a	1	Aluk-kelek 	MGV	n.	OBJ.CONC	aquarium
a	1	Aluk-kum-fek 	MGV	n.	OBJ.CONC	fishing pole
a	1	Aluk-kum-kik 	MGV	n.	OBJ.CONC	fishhook
a	1	Aluk-kum-mashali 	MGV	n.	OBJ.CONC	fishing boat
a	1	Aluk-kum-tor 	MGV	v.	ACT.CONC	fish
a	1	Aluk-kumsu 	MGV	n.	OBJ.CONC	fisherman
a	1	An-bet	anc.	n.	OBJ.CONC	gable
a	1	Andorsu 	MGV	n.	OBJ.CONC	Andorian
a	1	Ap'hashau 	MGV	v.	ACT.CONC	ricochet
a	1	Ap'hashaya 	MGV	n.	OBJ.CONC	ricochet
a	1	Apalikau-zehlanaya 	MGV	n.	OBJ.CONC	startup sequence
a	1	Apalikaya 	MGV	n.	OBJ.CONC	startup, start-up
a	1	Apumeskarau 	MGV	v.	ACT.CONC	take a hold of
a	1	Ar'ka-halek 	MGV	n.	OBJ.CONC	flywheel
a	1	Ar'kada 	MGV	v.	ACT.CONC	work
a	1	Ar'kada-lashi 	MGV	n.	OBJ.CONC	workstation
a	1	Ar'kada-pthak 	MGV	n.	OBJ.CONC	ergophobia
a	1	Ar'kadan 	MGV	n.	OBJ.CONC	work, chore, task, job
a	1	Ar'tu 	anc.	n.	OBJ.CONC	project
a	1	Arlanga 	MGV	n.	OBJ.CONC	a Vulcan mountain range
a	1	Arlanga-tukh 	MGV	n.	OBJ.CONC	yttrium
a	1	Aru 	anc.	n.	OBJ.CONC	afternoon
a	1	Aru-yem 	MGV	n.	OBJ.CONC	dinner, afternoon meal
a	1	Asal 	MGV	n.	OBJ.CONC	morning
a	1	Asal-masu 	MGV	n.	OBJ.CONC	dew
a	1	Asal-masu-sfek 	MGV	n.	OBJ.CONC	dew point
a	1	Asal-masu-thek 	MGV	n.	OBJ.CONC	dewdrop
a	1	Asal-masu-thonek 	MGV	n.	OBJ.CONC	drosometer
a	1	Asal-yem 	MGV	n.	OBJ.CONC	breakfast, morning meal
a	1	Ash'ai 	MGV	n.	OBJ.CONC	sock, stocking
a	1	Ash'ai-zhel 	MGV	n.	OBJ.CONC	garter
a	1	Ash'el 	MGV	n.	OBJ.CONC	shoe
a	1	Ash'gelfek 	MGV	n.	OBJ.CONC	perch
a	1	Ash'kwitayek 	MGV	n.	OBJ.CONC	pedal
a	1	Ash'ya 	MGV	n.	OBJ.CONC	foot
a	1	Ash'ya-dukal 	MGV	n.	OBJ.CONC	football (the ball)
a	1	Ash'ya-dukal-torvukh 	MGV	n.	OBJ.CONC	football (the sport)
a	1	Ash'ya-fam-, ash'ya-famik 	MGV	adj.	PROP.CONC	apodal, apodous, footless
a	1	Ash'ya-hilek 	MGV	n.	OBJ.CONC	spade
a	1	Ash'ya-sai-vel 	MGV	n.	OBJ.CONC	footwear
a	1	Ash'yaidar 	MGV	n.	OBJ.CONC	footprint
a	1	Ash'yakhut 	MGV	n.	OBJ.CONC	slipper
a	1	Ash-tor 	MGV	v.	ACT.CONC	step, tread
a	1	Ashal-, Ashalik 	MGV	adj.	PROP.CONC	(be)loved, darling
a	1	Ashal-veh 	MGV	n.	OBJ.CONC	beloved, darling, sweetheart
a	1	Ashau 	MGV	v.	ACT.CONC	love
a	1	Ashau-krel-masu 	MGV	n.	OBJ.CONC	love potion
a	1	Ashaun-, Ashaunik 	MGV	adj.	ACT.CONC.MOD	loving
a	1	Ashausu 	MGV	n.	OBJ.CONC	lover
a	1	Ashaya-var 	MGV	n.	OBJ.CONC	love story
a	1	Ashen-fau-yut 	MGV	n.	OBJ.CONC	causeway
a	1	Ashen-padukau-rala 	MGV	n.	OBJ.CONC	elevon
a	1	Ashenau 	MGV	v.	ACT.CONC	raise, elevate, amplify
a	1	Ashenayek 	MGV	n.	OBJ.CONC	elevator
a	1	Ashenek 	MGV	n.	OBJ.CONC	exponent
a	1	Ashiv-tor 	MGV	v.	ACT.CONC	repeat
a	1	Ashivau 	MGV	v.	ACT.CONC	iterate
a	1	Ask'er 	MGV	n.	OBJ.CONC	army
a	1	Ask'ersu 	MGV	n.	OBJ.CONC	soldier
a	1	Ask'ersu-kelek 	MGV	n.	OBJ.CONC	barracks
a	1	Ask'ersu-leshek 	MGV	n.	OBJ.CONC	troop carrier
a	1	Ask'plak-, Ask'plakik 	MGV	adj.	PROP.CONC	tactical
a	1	Ask'plak-galu-wun 	MGV	n.	OBJ.CONC	tactical nuclear weapon
a	1	Ask'plak-lansu 	MGV	n.	OBJ.CONC	tactical officer
a	1	Ask'plak-lashi 	MGV	n.	OBJ.CONC	tactical station
a	1	Ask'plakanu 	MGV	n.	OBJ.CONC	tactics
a	1	Aski|-| 	MGV	adj.	PROP.CONC	mighty, military
