"FRST_LETTER"	"vulcan"	"pronunciation"	"fse"
"1"	"a"	"A'gal "	" _ - ' g_l /"	"proton"
"2"	"a"	"A'gal-lushun"	""	"proton torpedo"
"3"	"a"	"A'ho"	""	"hello"
"4"	"a"	"A'rak-, A'rakik "	" _ - ' r_k /"	"positive<ca>(polarity)"
"5"	"a"	"A'rak-falun"	""	"positive charge"
"6"	"a"	"A'rak-falun-krus"	""	"positive ion"
"7"	"a"	"A'rak-narak'es"	""	"positive polarity"
"8"	"a"	"Aberala "	" _ - be - ' r_ - l_ /"	"aerofoil, airfoil"
"9"	"a"	"Aberala-tchakat "	" - t__ - ' k_t /"	"camber<ca>(aero.)"
"10"	"a"	"Aberayek "	" _ - be - ' r_ - jek /"	"crane<ca>(n.)"
"11"	"a"	"Aberofek "	" _ - be - ' ro - fek /"	"derrick"
"12"	"a"	"Abevipladau"	""	"dub<ca>(v.)"
"13"	"a"	"Abi' "	" _ - ' bi /"	"until<ca>(prep.)"
"14"	"a"	"Abmarkan-, Abmarkanik"	""	"buoyant"
"15"	"a"	"Abmarkan'es"	""	"buoyancy"
"16"	"a"	"Abmarkan'es-svitan"	""	"center of buoyancy"
"17"	"a"	"Abomesayik vath-sfek-aus"	""	"arccosecant"
"18"	"a"	"Abomesayik vath-sfek-vel"	""	"arccotangent"
"19"	"a"	"Abomesayik vath-tavat-zes"	""	"arccosine"
"20"	"a"	"Abomesayik vul-tavat-zes"	""	"arcsine"
"21"	"a"	"Abomesayik weht-sfek-aus"	""	"arcsecant"
"22"	"a"	"Abomesayik wuh-sfek-vel"	""	"arctangent"
"23"	"a"	"Aborau "	" _ - bo - ' ra_ /"	"boost<ca>(v.)"
"24"	"a"	"Aborau-yon-hashek"	""	"booster rocket"
"25"	"a"	"Aboraya"	""	"boost<ca>(n.)"
"26"	"a"	"Aborayek"	""	"booster"
"27"	"a"	"Aborayek-dahshaya"	""	"booster separation"
"28"	"a"	"Abrash "	" _ - ' br__ /"	"flood<ca>(n.)"
"29"	"a"	"Abrash-eiktra"	""	"flood plain"
"30"	"a"	"Abrash-masu"	""	"floodwater(s)"
"31"	"a"	"Abrash-pthak"	""	"antlophobia"
"32"	"a"	"Abrash-temep"	""	"floodgate"
"33"	"a"	"Abrash-temok"	""	"floodwall"
"34"	"a"	"Abrash-tor"	""	"flood<ca>(v.)"
"35"	"a"	"Abru' "	" _ - ' bru /"	"above, over<ca>(prep.)"
