"FRST_LETTER"	"vulcan"	"klingon"
"1"	"a"	"Abru-ru'lut-isachya "	" loch"
"2"	"a"	"Abru-shal "	" Dung"
"3"	"a"	"Abrukhau "	" ghatlh"
"4"	"a"	"Abulau "	" ghur"
"5"	"a"	"Abutsuplau "	" jegh"
"6"	"a"	"Afer-tor "	" cher"
"7"	"a"	"Afsakau "	" maq"
"8"	"a"	"Agreibau "	" joy'"
"9"	"a"	"Ahm "	" pong"
"10"	"a"	"Ahm-tor "	" pong"
"11"	"a"	"Aikum "	" maS"
"12"	"a"	"Aikum-ha'gel "	" maSwov"
"13"	"a"	"Aitlu "	" neH"
"14"	"a"	"Ak "	" tugh"
"15"	"a"	"Ak'wikmun "	" mer"
"16"	"a"	"Akansu "	" nov"
"17"	"a"	"Anemihalikaya "	" qIQ"
"18"	"a"	"Ar'kada-tukh "	" luch"
"19"	"a"	"Ar'tu "	" jInmol"
"20"	"a"	"Asal-yem "	" nIQ"
"21"	"a"	"Ash'ailar "	" paSlogh"
"22"	"a"	"Ash'el "	" waq"
"23"	"a"	"Ashal-veh "	" bang"
"24"	"a"	"Ask'er "	" mangghom"
"25"	"a"	"Ask'ersu "	" mang"
"26"	"a"	"Ask'ersular "	" negh"
"27"	"a"	"Au "	" chaH"
"28"	"a"	"Aushfa "	" Ha'DIbaH"
"29"	"b"	"Be'hai'la "	" meb"
"30"	"b"	"Behsu "	" jIl"
"31"	"b"	"Betau "	" chol"
"32"	"b"	"Bezhun "	" mIn"
"33"	"b"	"Bezhun-zehl "	" Huy'"
"34"	"b"	"Buhshausu "	" HeSwI'"
"35"	"b"	"Buhshaya "	" HeS"
"36"	"d"	"D'ohan "	" mIS"
"37"	"d"	"Da-kuv "	" gho"
"38"	"d"	"Dah|kuh| "	" cha'"
"39"	"d"	"Dah'veh "	" cha'DIch"
"40"	"d"	"Dah'wak "	" cha'logh"
"41"	"d"	"Dah-pim-khush "	" cha'pujqut"
"42"	"d"	"Dah-pim-tukh "	" cha'puj"
"43"	"d"	"Dahshau "	" chev"
"44"	"d"	"Dakharau-shal "	" Degh"
"45"	"d"	"Dakharausu "	" DeghwI'"
"46"	"d"	"Deshkau "	" yu'"
"47"	"d"	"Donku "	" Huch"
"48"	"d"	"Dor "	" batlh"
"49"	"d"	"Doromnah-tor "	" Ho'"
"50"	"d"	"Dotor "	" nab"
"51"	"d"	"Drahk "	" Hugh"
"52"	"d"	"Dun "	" nav"
"53"	"d"	"Duta'es "	" ghar"
"54"	"d"	"Dutar "	" gharwI'"
"55"	"d"	"Duv "	" QIb"
"56"	"d"	"Dva-tor "	" Har"
"57"	"d"	"Dvel "	" DuH"
"58"	"d"	"Dvel-feim "	" HIDjolev"
"59"	"d"	"Dvelek "	" leQ"
"60"	"d"	"Dvin-sai-vel "	" HIp"
"61"	"e"	"Eh "	" je"
"62"	"e"	"Eik'es "	" chuq"
"63"	"e"	"Eilbak "	" Haj"
"64"	"e"	"Ein-veh "	" vay"
"65"	"e"	"Ein-vel "	" vay'"
"66"	"e"	"Ein-wilat "	" vogh"
"67"	"e"	"Ek, Ek' "	" Hoch"
"68"	"e"	"Ek'kal "	" moQ"
"69"	"e"	"Ek'neikau "	" chargh"
"70"	"e"	"Ek'tal "	" QeD"
"71"	"e"	"Ek'tal-lansu "	" QeDpIn"
"72"	"e"	"Ek'talsu "	" tej"
"73"	"e"	"Ek'tra "	" yuQ"
"74"	"e"	"Ek'trasha "	" choS, lon"
"75"	"e"	"Ekhartau "	" loH"
"76"	"e"	"Ekhartaya "	" loH"
"77"	"e"	"El'mish "	" jan"
"78"	"e"	"El'ru "	" ghop"
"79"	"e"	"El'ru-kisev "	" ghItlh"
"80"	"e"	"El'ru-pohshayek(TGV), El'ru-pohshek(MGV)"	" HIch"
"81"	"e"	"El'ru-wek-zehlek "	" pu'HIch"
"82"	"e"	"El'torau "	" che'"
"83"	"e"	"Elakh "	" tlhegh"
"84"	"e"	"Ertau "	" nuQ"
"85"	"e"	"Eshikh "	" Deb"
"86"	"e"	"Estuhl "	" Hot"
"87"	"e"	"Etek "	" maH"
"88"	"e"	"Etlavau "	" bot"
"89"	"e"	"Etwel "	" maH"
"90"	"f"	"Fabehal-tor "	" juS"
"91"	"f"	"Fai-tor "	" Sov"
"92"	"f"	"Faik "	" De'"
"93"	"f"	"Falek'es "	" Hat"
"94"	"f"	"Faterek "	" moHaq"
"95"	"f"	"Faukh "	" may'"
"96"	"f"	"Fisolekau "	" Saq"
"97"	"f"	"Fna-svep "	" HIchDal"
"98"	"f"	"Fnish-tor "	" largh"
"99"	"f"	"Fnu-vei "	" muS"
"100"	"f"	"Fo-dan "	" yoD"
"101"	"f"	"Fosh "	" Hub"
"102"	"f"	"Fosh-tor "	" Hub"
"103"	"f"	"Fula-kahr "	" mon"
"104"	"f"	"Fulag-tor "	" Dev"
"105"	"f"	"Fun-tor "	" chegh"
"106"	"g"	"Gad "	" jaj"
"107"	"g"	"Gad fa'za-gad "	" cha'Hu'"
"108"	"g"	"Gad po'fa-gad "	" cha'leS"
"109"	"g"	"Gad-keshtan "	" jajlo'"
"110"	"g"	"Galashau "	" maS"
"111"	"g"	"Gas-vla "	" nIH"
"112"	"g"	"Geldau "	" HuS"
"113"	"g"	"Gen-lis "	" Hol"
"114"	"g"	"Gisam "	" tar"
"115"	"g"	"Gla-gluvaya "	" HaSta"
"116"	"g"	"Gla-tor "	" legh"
"117"	"g"	"Glan-sharu "	" lur"
"118"	"g"	"Glantau "	" bej"
"119"	"g"	"Glashau "	" Hotlh"
"120"	"g"	"Glashayek "	" HotlhwI'"
"121"	"g"	"Gluvau "	" cha'"
"122"	"g"	"Gluvayek "	" jIH"
"123"	"g"	"Goh "	" neH"
"124"	"g"	"Gol'nevsu "	" boQ"
"125"	"g"	"Gol-tor "	" boQ"
"126"	"g"	"Grau "	" boch"
"127"	"g"	"Grei "	" vuS"
"128"	"h"	"Ha "	" HIja', HISlaH"
"129"	"h"	"Ha'gel-nu-wak "	" choS"
"130"	"h"	"Ha'kiv "	" yIn"
"131"	"h"	"Ha'kiv-nenikau-torektra "	" yIntagh"
"132"	"h"	"Ha-kel "	" juH"
"133"	"h"	"Hahf "	" ghol"
"134"	"h"	"Haifan "	" jogwI'"
"135"	"h"	"Hakusut "	" bep"
"136"	"h"	"Hal-tor "	" jaH"
"137"	"h"	"Hal-tukh "	" nIn"
"138"	"h"	"Halan "	" leng"
"139"	"h"	"Hali "	" Duj"
"140"	"h"	"Hali-dunap "	" QonoS"
"141"	"h"	"Hali-sutra, Hali-suyu "	" beq"
"142"	"h"	"Han "	" ghIch"
"143"	"h"	"Haseret "	" Hergh"
"144"	"h"	"Hashitra "	" nawlogh"
