"FRST_LETTER"	"vulcan"	"domain"	"klingon"
"1"	"a"	"Abru-ru'lut-isachya "	NA	" loch"
"2"	"a"	"Abru-shal "	NA	" Dung"
"3"	"a"	"Abrukhau "	NA	" ghatlh"
"4"	"a"	"Abulau "	NA	" ghur"
"5"	"a"	"Abutsuplau "	NA	" jegh"
"6"	"a"	"Afer-tor "	NA	" cher"
"7"	"a"	"Afsakau "	NA	" maq"
"8"	"a"	"Agreibau "	NA	" joy'"
"9"	"a"	"Ahm "	NA	" pong"
"10"	"a"	"Ahm-tor "	NA	" pong"
"11"	"a"	"Aikum "	NA	" maS"
"12"	"a"	"Aikum-ha'gel "	NA	" maSwov"
"13"	"a"	"Aitlu "	NA	" neH"
"14"	"a"	"Ak "	NA	" tugh"
"15"	"a"	"Ak'wikmun "	NA	" mer"
"16"	"a"	"Akansu "	NA	" nov"
"17"	"a"	"Anemihalikaya "	NA	" qIQ"
"18"	"a"	"Ar'kada-tukh "	NA	" luch"
"19"	"a"	"Ar'tu "	NA	" jInmol"
"20"	"a"	"Asal-yem "	NA	" nIQ"
"21"	"a"	"Ash'ailar "	NA	" paSlogh"
"22"	"a"	"Ash'el "	NA	" waq"
"23"	"a"	"Ashal-veh "	NA	" bang"
"24"	"a"	"Ask'er "	NA	" mangghom"
"25"	"a"	"Ask'ersu "	NA	" mang"
"26"	"a"	"Ask'ersular "	NA	" negh"
"27"	"a"	"Au "	NA	" chaH"
"28"	"a"	"Aushfa "	NA	" Ha'DIbaH"
"29"	"b"	"Be'hai'la "	NA	" meb"
"30"	"b"	"Behsu "	NA	" jIl"
"31"	"b"	"Betau "	NA	" chol"
"32"	"b"	"Bezhun "	NA	" mIn"
"33"	"b"	"Bezhun-zehl "	NA	" Huy'"
"34"	"b"	"Buhshausu "	NA	" HeSwI'"
"35"	"b"	"Buhshaya "	NA	" HeS"
"36"	"d"	"D'ohan "	NA	" mIS"
"37"	"d"	"Da-kuv "	NA	" gho"
"38"	"d"	"Dah|kuh| "	NA	" cha'"
"39"	"d"	"Dah'veh "	NA	" cha'DIch"
"40"	"d"	"Dah'wak "	NA	" cha'logh"
"41"	"d"	"Dah-pim-khush "	NA	" cha'pujqut"
"42"	"d"	"Dah-pim-tukh "	NA	" cha'puj"
"43"	"d"	"Dahshau "	NA	" chev"
"44"	"d"	"Dakharau-shal "	NA	" Degh"
"45"	"d"	"Dakharausu "	NA	" DeghwI'"
"46"	"d"	"Deshkau "	NA	" yu'"
"47"	"d"	"Donku "	NA	" Huch"
"48"	"d"	"Dor "	NA	" batlh"
"49"	"d"	"Doromnah-tor "	NA	" Ho'"
"50"	"d"	"Dotor "	NA	" nab"
"51"	"d"	"Drahk "	NA	" Hugh"
"52"	"d"	"Dun "	NA	" nav"
"53"	"d"	"Duta'es "	NA	" ghar"
"54"	"d"	"Dutar "	NA	" gharwI'"
"55"	"d"	"Duv "	NA	" QIb"
